针对小面积便利店的水果品类控制和损耗管理，建议如下：

### 一、品类选择原则（“少而精，高频高利”）
1. **选“硬通货”**：如苹果、香蕉、橙子、梨、火龙果。这些品种耐储存、认知度高、复购率强。
2. **按场景定品**：
   - **应急/即食型**：小包装洗好的水果（如盒装切块西瓜、菠萝），配牙签，适合上班族。
   - **解馋型**：草莓、蓝莓、樱桃（可小盒包装，单价高，损耗可控）。
   - **引流型**：每日特价一种时令水果（如“今天特价蜜瓜1.99元/斤”），可集中采购降低单价。
3. **避开“高损耗低利润”**：如榴莲、山竹、芒果、葡萄（易压坏、需冷链）、杨梅（极不耐放）。非必要不上架。

### 二、采购策略
- **少批量、多频次**：每日订货，最好早上一次、下午补一次（或根据周边客流时段调整）。避免一次性囤积。
- **关注“熟度”**：优先采购七成熟的水果（如香蕉、芒果），让其在店里自然成熟，控制烂果节奏。
- **利用“可冻品”**：夏季可少量备货冷冻水果（如冻芒果条、冻蓝莓），常温保存，零损耗，适合做奶昔或直接卖。
- **与本地批发市场/社区团购合作**：若门店极小，可对接本地果蔬批发商，约定每日按需配送到店，甚至代销（卖完结款，退坏果）。

### 三、损耗控制方法
1. **陈列即管理**：
   - 只摆3-5个品种，每个品种备货不超过10-15个（首次试探），卖完补货。
   - 易损水果（草莓、葡萄）用小筐或托盘，避免堆叠；苹果、橙子可散堆，但每天翻检一次。
2. **“半损不丢”**：
   - 有磕碰或轻微软化的水果，立即切块做成杯装果切（单价=整果1.5倍），当天卖完。
   - 表皮发黑但内部完好的香蕉：做“每日特价”，或打8折促销。
   - 晚上8点后，果切直接降价20%，力求当日清空。
3. **周转与预警**：
   - **3天红线**：任何水果进货满3天未卖出超1/3，立刻打折或做切块。
   - **温度控制**：香蕉、芒果常温放置；草莓、葡萄必须冷藏（4℃左右）；苹果、橙子无需冷藏。
4. **顾客教育**：
   - 贴提示“请轻拿轻放”，减少人为损耗。
   - 明示“每日新鲜到货”，让顾客愿意买今天到的货。

### 四、参考数据（小便利店）
- **品类数**：建议不超过5个（含果切、整果各2-3种）。
- **进货量**：单次每种水果进货量控制在20个/斤以内（小型店），卖完再补。
- **损耗容忍度**：正常损耗控制在5%以内（果切模式可降至2%）；如果超过8%，立刻削减品类或调整供应商。

**执行建议**：先试卖2周，记录每种水果的销量、损耗比例、利润，淘汰排行末尾的品种。
