佳农（Goodfarmer）作为国内主要的水果品牌商之一，确实在餐饮渠道（B端）有较为成熟的菠萝供应链方案，尤其针对**餐饮、饮品、烘焙**等客户。

他们的菠萝解决方案通常包括：

1. **定制化产品规格**：
   - 提供**去冠、切半、去皮、切块**等不同加工深度的菠萝，减少后厨处理工序。
   - 提供**鲜切锁鲜包装**，按餐饮门店单次用量分装，保证出餐效率。

2. **供应链保障**：
   - 以菲律宾、泰国等产地的当季菠萝为主，配合国内产季衔接，确保全年稳定供货。
   - 部分大客户可享受**产地直发+冷柜全程控温**，降低损耗风险。

3. **应用场景匹配**：
   - 针对饮品店（如菠萝果茶、菠萝气泡水）提供较低酸度、甜度高的品种（如菲律宾菠萝）。
   - 针对西餐、轻食（菠萝沙拉、汉堡夹片）提供果肉紧实、不易出水的规格。
   - 针对烘焙（菠萝馅料、果酱）甚至可提供定制糖度或灭菌处理方案。

**如何获取具体方案**：  
佳农目前对B端主要通过**区域销售经理或大客户部**对接。建议您直接联系佳农官网公布的商务合作电话，或通过其官方微信公众号“企业服务”入口，明确说明“餐饮渠道+采购量级+所在城市”，销售人员会根据您的出餐类型推荐产品线。

**如果您有一定的采购量（如月需求5吨以上）**，他们通常可以提供免费样品测试，并根据门店SOP定制加工包装。如果是中小型餐厅，也可以咨询当地水果批发市场里的佳农授权经销商，部分经销商会支持小批量拼单。
