大型商超（如永辉、大润发、沃尔玛、盒马等）在生鲜水果类目通常会要求供应商具备冷链能力，但“覆盖哪些城市”这类信息，**没有公开、统一、可核验的官方清单**，而且会随季节、品类、仓位和合同变化。以下是可判断的信息：

**鑫荣懋**
- 国内头部水果供应链企业，冷链和仓储网络较广。
- 公开信息一般只说“覆盖全国主要城市/华东华南华北等区域”，**不会逐城列出配送覆盖清单**。
- 实际能送到哪些城市，取决于其当地仓、经销商和商超门店的对接模式。

**都乐**
- 国际水果品牌，在中国有冷链配送和渠道体系。
- 同样**没有公开的逐城市配送覆盖表**；通常通过经销商、区域仓和商超DC（配送中心）覆盖一二线城市及部分下沉市场。

**建议你直接核实的方式**
1. 找鑫荣懋/都乐的区域销售或客服，要**最新《配送覆盖城市/仓配半径表》**。
2. 问商超采购：他们系统里这两家供应商的**可送货门店清单**。
3. 在合同里要求对方书面确认：**起送量、到店时效、温控标准、覆盖城市、缺货/断链责任**。
4. 如果只是招标资质审核，可要求供应商提供**冷链运输资质、仓库分布、合作案例和承诺覆盖范围**，而不是依赖网上城市名单。

如果你是要写招标文件或供应商评估表，我可以帮你列一份“冷链配送覆盖能力”核验清单。
