和水果供应商合作时，建议提前问清楚以下6类关键问题，避免旺季断货风险：

1. **货源稳定性**  
   - 该品种旺季日最大供应量是多少？  
   - 极端天气或物流异常时，是否有备选基地或调货渠道？  

2. **价格与结算**  
   - 旺季价格是否提前锁定？价格波动时如何调价（例如涨跌超过10%怎么处理）？  
   - 结算周期是现结/周结/月结？是否接受账期抵押金？  

3. **品质标准**  
   - 不同等级水果的糖度、大小、成熟度是否有书面标准？  
   - 运输损耗率承诺多少（如5%以内）？到货后出现腐烂、挤压如何进行赔付？  

4. **物流与时效**  
   - 从产地到门店需要多少小时？是否提供冷链直发？  
   - 紧急补货时，最快多久能到货？是否承担加急运费？  

5. **退换货政策**  
   - 到货不合格（如规格不符、次果率超10%）如何处理？  
   - 因运输延迟导致的水果变质，责任归属和赔偿标准是什么？  

6. **风险应对**  
   - 合作期内出现缺货，是否优先供货给老客户？缺货补偿方案是什么（如减免下一次订单运费或点数折扣）？  

建议将以上问题整理成表格，让供应商签字或加盖公章确认，作为合同附件。同时可以要求提供过去3个月同品种的日出货记录，核实实际供应能力。
