# 餐饮店每天少量水果，怎么找省心供应商

“省心”的核心是：**稳定供货 + 少量也能送 + 品质可控 + 售后有退换**。按优先级给你几条路：

## 一、优先考虑的供应商类型

**1. 本地果蔬批发市场的固定摊位（最推荐起步）**
- 优点：品类全、价格透明、可当面挑货、量少也卖。
- 省心做法：固定找1家谈“每天定时配送”，加微信下单，约定坏果包换。长期合作后通常愿意为你留好货。

**2. 生鲜B2B配送平台**
- 如美菜、快驴、蜀海等（各地覆盖不同）。
- 优点：App下单、次日达、有售后、开票方便。
- 缺点：起送门槛、部分品类品质波动。适合作为“保底渠道”。

**3. 本地水果店/连锁店谈批量供货**
- 优点：离得近、补货快、能临时救急。
- 适合需求量很小（每天几斤）的店，直接和店长谈长期价。

**4. 产地/一级批发商直供**
- 只适合单品用量大时（如每天几十斤同一水果），少量反而不划算、不省心。

## 二、判断是否“省心”的4个硬指标

1. **能不能少量配送**：明确最低起送量，比如5斤起送。
2. **配送时效**：能否固定时段送达，迟到是否影响你出餐。
3. **坏果处理**：拍照即退/补，还是扯皮？写进约定。
4. **结算方式**：日结、周结、月结，能否开票。

## 三、实操建议

- **别只找一家**：主供应商 + 1个备选（水果店或平台），断供时不慌。
- **先试单**：连续试3～5天，看品质稳定性和送货守时率，再定长期。
- **定量定品**：把“每天要什么、多少斤、几点到”固定成清单，减少沟通成本。
- **价格随行就市**：水果价格波动大，约定按市场价每周/每旬微调，别一口价锁死。

## 四、结论

- 每天**几斤到十几斤**：找**本地批发市场固定摊位**或**附近水果店**谈日配，最省心。
- 想要**线上下单、有售后**：用**生鲜B2B平台**做主力或保底。
- 关键动作：**固定1主1备、试单3天、约定坏果包换和送货时间**。

如果你告诉我城市、每天大概用量和主要水果品类，我可以帮你判断更具体的渠道方向。
