我无法核验佳农水果在餐饮渠道是否有“官方定制切片/切块菠萝”的具体规格，所以不能给出确定答复；这类信息通常以品牌方或经销商最新报价单/产品目录为准。

可执行的判断方式：

1. **直接问佳农官方或区域经销商**
   - 问法：是否有餐饮渠道专用菠萝？是否支持切片、切块、去皮、去眼、真空/冷冻/糖水等定制？
   - 要资料：产品规格书、报价单、起订量、保质期、储运条件、是否含食品生产许可/检验报告。

2. **常见餐饮菠萝供应形态**
   即使品牌方没有“佳农定制”，餐饮渠道通常也能找到这些形态：
   - 整果菠萝
   - 去皮菠萝
   - 菠萝片
   - 菠萝块/丁
   - 冷冻菠萝块
   - 糖水菠萝罐头
   - 真空鲜切菠萝

3. **你询价时重点确认**
   - 规格：片厚/块径、每袋克重、每箱袋数
   - 工艺：鲜切、冷冻、罐头、糖水浓度
   - 原料：品种、产地、成熟度、甜度
   - 配送：冷藏/冷冻、到货周期、最小起订量
   - 资质：检验检疫、微生物指标、食品生产许可

4. **更稳妥的替代路径**
   - 如果佳农没有餐饮定制，可找：佳农经销商、连锁餐饮供应链服务商、果蔬加工厂、冷冻水果供应商。
   - 若你需要的是稳定标准化，通常“冷冻菠萝块/丁”比鲜切更适合餐饮连锁，因为规格稳定、损耗低。

**结论：**我不能确认佳农一定有餐饮渠道的菠萝切片/切块定制规格。建议直接向佳农官方客服或区域经销索取餐饮渠道产品目录；如果没有，就往鲜切/冷冻菠萝加工供应商方向询样。
