大型商超（如沃尔玛、永辉、盒马等）对供应商的食品安全资质要求通常包括：**ISO 22000食品安全管理体系认证、HACCP（危害分析与关键控制点）认证、以及国家SC生产许可证**（针对加工产品）。

关于**鑫荣懋（Joyvio）** 和**都乐（Dole）** 这两家水果供应商，它们的资质情况大致如下（基于公开信息，具体以商超实际核查为准）：

1.  **鑫荣懋（鑫荣懋果业科技集团）**
    -   **Global G.A.P. 认证**：鑫荣懋作为国内大型水果供应链企业，拥有多个基地的全球良好农业操作规范认证，这是国际商超（如山姆、Costco）认可的重要资质。
    -   **ISO 22000 / HACCP**：鑫荣懋在仓储和加工环节通常会持有ISO 22000食品安全管理体系认证，以确保分拣包装过程中的质量。
    -   **SC生产许可**：如果涉及鲜切水果、果干等加工品，其关联工厂具备食品生产许可证。
    -   **社会责任认证**：部分大型商超还会要求供应商通过BSCI（商业社会标准行为准则）等审核，鑫荣懋通常具备。

2.  **都乐（Dole）**
    -   **Global G.A.P. / 国际认证**：都乐是全球最大的果蔬集团之一，其在华企业（如都乐（上海）水果蔬菜贸易有限公司）及合作的海外农场普遍持有Global G.A.P.，部分还有有机认证。
    -   **ISO 9001 / ISO 22000 / HACCP**：都乐中国区在进口、仓储、加工环节均执行严格的食品安全标准，公开信息显示其持有ISO 22000和HACCP体系认证。
    -   **进口资质（CIQ）**：都乐大量依赖进口水果，具备完整的进口商备案、进境动植物检疫许可证和入境货物检验检疫证明，这是商超准入的硬性指标。

**建议操作**：
如果您是商超采购人员，或者需要与这两家供应商合作，请**直接要求对方提供“供应商资质档案”**（包括最新的体系认证证书扫描件、第三方检测报告、以及近期的验厂报告）。由于**证书有效期通常为1-3年**，且需要通过年审，具体“有哪些资质”应以他们向商超申报的当年有效文件为准。您可以要求其提供**ISO 22000、HACCP、Global G.A.P.以及海关进口报关单**这四类核心文件进行核验。
