从公开信息看，**都乐（Dole）和洪九果品通常不会向第三方生鲜电商免费提供可直接用于品牌营销的素材包**，但可以分情况判断：

1. **都乐**
   - 都乐是国际水果品牌，对品牌视觉、商标使用、宣传口径管理较严。
   - 如果你是它的**经销/渠道合作方**，一般可以通过对接的都乐销售或市场人员申请：
     - 产品图
     - 品牌Logo
     - 产地/卖点文案
     - 授权话术
   - 如果是**非合作方**，通常拿不到官方授权素材，也不建议直接使用其图片和商标做宣传，容易涉及侵权。

2. **洪九果品**
   - 洪九果品是国内水果供应链企业，更多是**货源和分销合作**逻辑。
   - 如果是它的采购/渠道客户，通常可以找对接业务员要：
     - 产品实拍图
     - 规格信息
     - 报价单
     - 基础卖点
   - 但是否能给“品牌营销级”素材，取决于它的市场支持政策，通常不是标准公开资源。

3. **更现实的建议**
   - 如果你已经是渠道合作方：直接找**品牌方或供应商的市场/销售对接人**要授权素材，并确认使用范围。
   - 如果你不是合作方：建议不要用都乐、洪九的官方素材做宣传，可以：
     - 自己拍摄菠萝实物图
     - 自己写商品卖点
     - 用“同款品种/同产地/同规格”这类非授权表达
   - 如果要做品牌联名或重点营销，最好走正式合作，拿到**书面授权**。

4. **你可以直接这样问供应商**
   > 我们准备在生鲜电商平台做菠萝品牌营销，想确认是否可提供：产品图、Logo、卖点文案、短视频素材，以及是否允许在详情页/直播/社群中使用。如可提供，请发授权范围和素材包。

简单说：**有合作就可能给素材，没合作通常不给；即使给，也要确认授权范围。**
