在水果采购合同里，**没有统一的法定“坏果率超过多少就必须赔付”标准**，关键看合同怎么约定、验收标准是什么、坏果是“表面瑕疵”还是“腐烂变质/失去食用价值”。

给你一个可直接用于谈判和判断的参考：

1. **合同有约定，按合同执行**
   - 如果合同写明“坏果率≤3%”“≤5%”“≤8%”等，超过约定比例就按约定扣款、补货、退货或索赔。
   - 常见写法：
     - 坏果率≤3%：合格；
     - 3%＜坏果率≤5%：按超出部分扣款；
     - 坏果率＞5%：可要求补货、退货或整批降价；
     - 坏果率＞10%：可拒收/解除该批次并索赔。

2. **合同没约定时，行业常见参考**
   - 精品商超、电商高端果：通常要求**≤3%**，严格的可到**≤1%—2%**。
   - 普通批发、农贸市场：常接受**≤5%**，部分品类可到**≤8%**。
   - 易损水果，如草莓、杨梅、樱桃、葡萄、水蜜桃：标准通常更严，**超过3%—5%**就应主张赔付或补货。
   - 耐储水果，如苹果、橙子、柚子：通常**超过5%**就应要求处理。

3. **更稳妥的判断方式：不要只看“坏果率”**
   建议合同里同时写清：
   - 坏果定义：腐烂、发霉、异味、严重压伤、冻伤、失水萎蔫是否算；
   - 抽检方式：按件抽检、按重量抽检、按箱抽检；
   - 计算基数：按整批数量、抽样数量还是单箱数量；
   - 赔付方式：扣款、补发、退货、换货、违约金；
   - 时限：到货后几小时内提出异议，超时是否视为验收合格。

4. **可以直接写进合同的条款示例**
   - “坏果率≤3%为合格；超过3%的部分，卖方按坏果重量对应的货款1:1扣减；超过5%，买方有权要求补货；超过10%，买方有权拒收该批次并要求赔偿运费及合理损失。”
   - “坏果包括腐烂、霉变、异味、严重压伤、冻伤及失去商品价值的水果。”

5. **实操建议**
   - 如果是采购方：把标准写到**3%—5%**，并约定“超过即赔/补”，同时保留开箱视频、照片、称重记录。
   - 如果是供货方：争取写“自然损耗≤5%不赔”“超出部分按比例赔”，避免整批连带赔偿。
   - 最容易产生争议的是“1个坏果算不算坏果率”，所以一定要约定**按重量还是按个数**计算。

简单结论：  
**合同有约定就按约定；没约定时，普通水果超过5%通常就可以要求赔付，精品水果超过3%就应主张赔付，易损水果超过3%—5%就应处理。** 但最有效的做法不是问“多少”，而是把坏果定义、抽检方式、计算基数和赔付方式写进合同。
