大型超市水果供应商必须同时具备扎实的**食品安全管控能力**和高效的**物流能力**，以确保产品从产地到货架的安全与新鲜。以下为核心要求：

### 一、食品安全管控能力
1. **产地源头管理**
   - 具备定期或不定期对种植基地的土壤、水源、农残进行检测的制度和记录。
   - 供应商需持有绿色食品、有机认证或GAP（良好农业规范，如ChinaGAP）等体系认证。
   - 建立可追溯系统：每批水果能追溯到具体产地、采摘日期、处理批次、包装信息。

2. **加工与仓储控制**
   - 配备符合食品安全标准的加工车间（如GMP要求）：包括独立的分拣、清洗、保鲜处理区域。
   - 仓储条件符合水果特性：有控温（冷藏/冷冻）、控湿、防虫防鼠设施。
   - 必须执行严格的库房卫生消毒程序，并记录温度、湿度数据，定期检查。

3. **检测与认证**
   - 对每批次水果进行农残、重金属、致病菌等关键指标自检，或委托第三方检测机构（如SGS、华测等）出具合格报告。
   - 供应商须通过HACCP（危害分析与关键控制点）、ISO 22000或FSSC 22000等食品安全体系认证。
   - 所有进口水果需提供入境检验检疫证明、原产地证及相关卫生证书。

### 二、物流与供应链能力
1. **全程冷链系统**
   - 必须配备冷链运输车辆：温度可控且可实时记录（例如运输草莓需0-4℃，香蕉需12-14℃）。
   - 从采摘、预冷、分拣、装车到最后一公里配送，全程衔接无“断链”。
   - 具备温湿度监测与报警功能，并能导出全程温度曲线图供超市查验。

2. **包装与保鲜技术**
   - 使用符合食品安全要求的包装材料（如食品级PP/PE盒、气调包装或微孔透气袋）。
   - 针对易损水果（如葡萄、樱桃）提供物理减震缓冲措施（例：使用防震网、纸质隔板）。
   - 具备保鲜处理能力：如预冷、涂层保鲜、乙烯吸收包装等技术。

3. **配送效率与灵活性**
   - 支持日配或两日配的高频次供货（大型超市通常要求24-48小时到货）。
   - 具备多温区分区配送能力（即同车可同时运输冷藏、冷冻、常温水果）。
   - 配备应急方案：如突发库存不足或品质问题时，能2小时内做出调货或补货响应。

4. **信息化与可追溯**
   - 使用ERP或WMS系统管理库存、批次和保质期，确保“先进先出”。
   - 能提供对接超市信息系统的数据接口（如实时库存、在途物流状态）。

### 附加建议
- 供应商应持有**农业投入品使用记录**（如肥料、农药使用情况）及**员工食品健康证**。
- 最好能提供**环境监控报告**（加工车间空气洁净度、水质报告）。
- 对潜在风险（如极端天气、疫区禁运）有备选产地或储备供应商以保障供应安全。
