在餐饮连锁中，**中央厨房统一收货**通常比门店分开收货更优，但这取决于品牌规模、SKU（品类复杂度）、门店距离和损耗控制能力。以下是结合生鲜水果特性的综合分析和管理建议：

### 一、核心结论
总体来说，**推荐“中央厨房/区域分拨中心统一收货”**。水果是易损耗、标准化难度高的生鲜，统一进货能显著降低采购成本，但前提是中央厨房必须具备**快速分拣、冷链暂存和当日配送**的能力。

### 二、统一收货（中央厨房）的优势
1. **品质与标准统一**：水果差异大（规格、糖度、成熟度），中央厨房可以在收货时统一进行农残抽检、重量复称、成熟度分级。门店直接收货往往只能看外观，品质波动大。
2. **降低采购成本**：统一收货量大，可跳过中间商，直接从产地或一级市场采购。且能集中议价，通常可降低10%~20%的采购单价。
3. **库存周转与损耗可控**：中央厨房可以按门店销量计划定量分装（如按份数、克重），避免门店各自囤货造成的积压报废。水果损耗率可从门店散收的10%~15%降至5%以内。
4. **减少门店人力与接货冲突**：门店只需按配送单核收，不需要每天处理供应商对接、账期、退换货等问题。

### 三、统一收货的代价（需重点解决）
- **冷链与时效压力大**：水果到货后必须在2-4小时内完成验收、分拣、周转。若中央厨房无暂存冷库或配送车辆温控差，损耗反而更高。
- **二次搬运增加机械伤**：中央厨房的拆箱、分装、再装车过程，会增加挤压碰伤概率。尤其对草莓、桃、葡萄等娇嫩果品要谨慎。
- **配送距离和频次**：如果门店距中央厨房超过2小时车程，建议改为**区域分拨仓**模式，而不是单一总仓。

### 四、什么情况下可考虑门店分开收货？
只建议在以下两种特殊场景采用：
1. **高价值、极娇嫩或需即采即用**：如本地高端的阳光玫瑰葡萄、树熟芒果，门店直接对接本地果园，到店即上架，无需过中央厨房。
2. **门店极少（少于3家）且距离极远**：此时中央厨房的建仓和冷链成本摊不平，不如由门店就近采买。

### 五、最佳实践建议（混合模式）
- **大宗基础果品**（苹果、橙、西瓜、香蕉）：**必须中央厨房统一收货**，标准化分切、装盒、贴标。
- **高端鲜食果品**（进口车厘子、鲜龙眼、无花果）：中央厨房统一收货后，按预定单量分装，**当日达**，但门店需上报日销量，中央厨房按销定采。
- **门店自营网红果切**：中央厨房统一提供新鲜原料，水果切配可在门店完成，但原料验收必须集中。

### 六、落地执行要点（避免踩坑）
1. **定损耗比**：在中央厨房与门店之间约定“到店损耗率≤3%”（指运输搬损），超出的部分由物流部门承担。
2. **数字化日志**：每批次水果在中央厨房录入“收货时间、冷库温度、出货时间”，门店扫码签收时同时记录温度。发现连续两次超温，立即更换冷链合作方。
3. **试运行机制**：如果原来一直是门店收货，建议**先选3-10家门店，中央厨房统一收货试运行1个月**，对比“门店投诉率、损耗金额、毛利率”三个指标再推广。

**最终建议**：若你的连锁规模在10家以上，且门店日营业额超过1万元，果断采用中央厨房统一收货。小规模或非标高端店，可先用区域拼车模式过渡。
