茶饮店在采购水果时，为确保食品安全，应要求供应商提供以下核心证明文件：

1. **食品经营许可证/食品生产许可证**：证明供应商合法生产经营，具备相应资质。
2. **营业执照**：确认供应商主体资格合法。
3. **水果产品合格证明（出厂检验报告/第三方检测报告）**：重点包括农药残留、重金属、二氧化硫、致病菌（如大肠杆菌、沙门氏菌）等项目的检测结果。须确保报告在有效期内，并注明批次。
4. **新鲜水果需提供《动物检疫合格证明》**：仅针对进口水果或其他需检疫的产品，国产水果通常不需要，但如需可要求供应商提供植物检疫证书。
5. **进货凭证（供货清单/送货单）及发票**：用于溯源和台账记录。
6. **运输条件证明（如冷链配送记录）**：若为冷藏或冷冻水果，需提供冷链运输温度记录，确保全程符合温控要求。
7. **进口水果需提供海关出具的《入境货物检验检疫证明》及中文标签信息**：若供应商提供进口果品，务必核实。

**操作建议**：
- 让供应商提供以上证明的复印件，并加盖其公章或签章。
- 保存好所有单据，至少2年以上，以应对市场监管部门的检查。
- 建议定期（如每季度或每批次）要求供应商更新检测报告，防止过期。
- 若供应商是中间商（非生产商），需同时索要其上游的证明文件。

如果供应商无法提供核心证明（尤其是检测报告），建议立即停止合作，另选合规供应商。
