是的，起订量过高确实会增加损耗风险，尤其在采购香蕉和菠萝这类易腐水果时。以下是具体分析和建议：

1. **高起订量的主要风险**  
   - **储存期有限**：香蕉成熟快，菠萝虽稍耐放，但切开或存放不当易变质。批量采购若销售/消耗速度跟不上，会因腐烂造成浪费。  
   - **冷链压力**：高起订量往往需要更大冷库或冷藏运输，若温控不当，损耗率可能飙升。  
   - **资金占用**：一次投入过多，若滞销则资金周转困难，变相增加成本。  

2. **降低损耗的实操建议**  
   - **按需分批次采购**：和供应商协商降低单次起订量，或签订“滚动订单”（如每周定量分送）。  
   - **调整库存策略**：根据历史销量数据，合理预估每日/周用量，再反推起订量是否合适。例如，若您日均卖50个菠萝，起订量500个就需要10天销售期，风险很高。  
   - **预先处理与储存**：菠萝可去皮切块后真空包装冷藏；香蕉可控制成熟度（如订购青果，分批催熟）。但需额外人工和包装成本，需权衡。  
   - **选择本地供应商**：缩短物流时间，可压低单次起订量，减少在途损耗。  

3. **如果必须接受高起订量**  
   - 提前规划促销或加工方案（如榨汁、做果酱），但需计算加工成本是否划算。  
   - 与供应商谈损耗补偿条款，如约定一定比例的“自然损耗”可退换。  

总之，高起订量主要适合周转快、销售稳定的渠道；若不满足，建议优先寻找可灵活起订的替代供应商。您可以先算一笔账：按当前销量，买回去几天能卖完？若超过3-5天，损耗风险会显著上升。
