单位采购水果，若到货品质不一致，建议按以下步骤规范验收和售后：

### 验收环节（防止问题扩大）
1. **开箱抽样检查**  
   - 每批次按总箱数10%-15%进行开箱抽查（如100箱抽10-15箱）。  
   - 检查箱内水果的成熟度、大小、颜色、有无腐烂或机械损伤。  
   - 对比采购合同/样品标准，确认是否达到约定的等级（如特级、一级）。

2. **立即记录问题**  
   - 拍照或录像证据：拍摄整批货物堆放外观、抽查箱内及问题水果特写（用日期水印）。  
   - 填写验收单：记录到货时间、品种数量、问题数量、腐烂/损伤比例、未达标品种。  

3. **分拣隔离**  
   - 将品质不一致的水果单独堆放，避免感染或混淆。  

4. **及时拒收或暂存**  
   - 若腐烂率超5%或关键指标不达标（如甜度低于合同值），可当场拒收或标注“待处理”。  
   - 冷藏保存问题批次（避免二次损耗），告知供应商在24小时内响应。  

### 售后处理（快速解决争议）
1. **联系供应商**  
   - 提供验收记录、照片/视频、合同条款编号，要求供应商介入。  
   - 明确诉求：换货、按比例退款、扣减货款或补发优质批次。  

2. **协商解决方案**  
   - **比例扣款**：例如合格率80%，按差价金额扣除20%货款。  
   - **部分换货**：仅更换问题箱，供应商承担退货运费。  
   - **全单拒收**：严重不一致时，要求退回供应商并全额退款（需在合同约定范围内）。  

3. **书面确认结果**  
   - 双方签署《品质异议处理单》，明确责任、赔偿金额及处理时限。  

### 风险防控建议
- **合同明确标准**：签约时约定允许的腐烂率（如≤2%）、大小公差（如单果重量±5%）、成熟度（如可食用比例）。  
- **保留样品**：提前封存1-2箱合同样品，作为验收对比依据。  
- **售后时效**：要求供应商在到货24小时内处理投诉，超时默认为接受退货要求。  

若供应商拒不配合，可依据《食品安全法》或合同中的仲裁条款，向属地市场监管部门或消费者协会投诉（需保留交易凭证和验收记录）。
