以下是处理水果到货不合格时的补货约定建议，可最大限度减少对营业的影响：

**1. 立即沟通供应商**
- 第一时间通知供应商，要求提供符合标准的替换果品。
- 明确要求加急补货，并约定具体到货时间（例如要求2小时内送达），避免断货。

**2. 约定补货条件和合格标准**
- 要求供应商附带最新批次的水果质量报告或现场验收照片，确保补货果品符合双方已约定的规格（如甜度、新鲜度、外观等）。
- 建议将不合格率超过一定比例（如5%）设为自动触发补货条款，无需重复协商。

**3. 约定时效与责任**
- 补货必须在约定时间内（如4小时）到店，否则供应商需承担因此造成的营业损失（如直接损失、招牌饮品缺货的间接损失）。
- 明确补货运费由供应商承担，并优先使用“专车配送”或“加急快递”方式。

**4. 设定临时替代方案**
- 与供应商预先约定：若补货无法及时到达，允许供应商调配附近门店库存或同城同行库存应急，减少断货时间。
- 店内可同步调整菜单：临时替换为已有库存的高频水果，或推出每日限定饮品（既能消化库存，又避免断货）。

**5. 记录与反馈**
- 每次补货后要求供应商提供电子版验收单，双方确认合格后签收。
- 对屡次出现不合格的供应商，可在合同中约定累计次数后降低供货比例或更换合作方。

**6. 日常防断货措施**
- 保留1-2种常备水果的备选供应商，以便快速切换。
- 每周评估主供水果的到货质量，提前1天增加安全库存（例如每日销量×2）。

**例：** “今日到货的芒果软化率超过30%，请于2小时内补送同批次达标芒果，运费你方承担。若延误，本店将按合同扣减该批货款并追偿当日停售损失。”
