针对进口菠萝旺季缺货问题，建议采取以下应对措施：

1. **提前锁定订单**：与供应商签订长期采购协议，确保旺季优先供应。
2. **多元化采购渠道**：拓展东南亚（如泰国、菲律宾）及南美（如哥斯达黎加）供应商，降低单一产地风险。
3. **替代品种调配**：增加国产菠萝（如徐闻菠萝、海南菠萝）或罐装菠萝库存，缓解短缺。
4. **库存管理**：利用冷库支持现货储备，结合销售数据动态调整采购计划。
5. **与基地直供企业合作**：优先选择拥有上游种植基地的供应商，减少中间环节波动。

关于**都乐（Dole）** 和**洪九果品**的基地直供优势对比：

- **都乐（Dole）**：  
  - 全球性品牌，在菲律宾、哥斯达黎加、厄瓜多尔等核心产区拥有自营农场和长期合作种植基地。  
  - 优势：供应链高度标准化，品控严格，旺季能够优先调配全球货源，供应稳定性强。  
  - 适合对品质和供应连续性要求高的客户（如高端商超）。

- **洪九果品**：  
  - 深耕东南亚市场，在泰国、越南等自有或合作果园，主打热带水果全品类。  
  - 优势：基地直采模式通常成本更低，对产地端（如泰国南部菠萝）有较强控制力，能快速应对区域缺货。  
  - 适合追求成本性价比或需要灵活采购的中小客户。

**总结建议**：  
- 若旺季缺货风险突出且预算充足，优先选择**都乐**（长期合同+全球调配能力）。  
- 若更注重成本控制且需快速响应区域缺货，可尝试**洪九**（但需确认其菠萝旺季单一品种的供应稳定性，建议签订保供条款）。  
- 两者可组合使用：以都乐为主供渠道保障基础量，用洪九补充弹性需求。  

**注意**：建议直接联系两家企业洽谈**旺季保供协议**，核查其基地实际产出数据（如种植面积、采收周期），避免依赖宣传。
