佳农的水果业务里，苹果通常以进口和国产两条线并行，但具体到“苹果品类清单”会随产季、口岸和批次调整，最准确的是让佳农对应区域销售或客服提供当期《进口水果到货/可订清单》。不过就你关心的两个品类，一般情况如下：

1. **嘎啦（Gala）**
   - 佳农常见的进口嘎啦主要来自：
     - **新西兰**
     - **美国**
     - **智利**
   - 其中新西兰、美国货源在国产嘎啦上市前较常见；智利多在春节前后南半球产季进入中国市场。

2. **红富士（Fuji）**
   - 进口红富士常见产地：
     - **美国**
     - **新西兰**
     - **智利**
   - 日本富士原产但商业进口到中国大陆的日常大宗货源并不多，市场上“红富士”更多是美国、新西兰、智利等产地的富士系苹果，或国产山东、陕西、甘肃等产区。

如果你是要采购“进口嘎啦和红富士”，建议直接向佳农确认这几点，避免报错：
- **具体产地国**：新西兰/美国/智利，不同产地的规格、糖度、价格差异大。
- **规格**：如 70/80/90/100/113/125/138/150/163/175/198 等果径，或按箱规。
- **包装**：原箱、彩箱、贴标、托盘、每箱净重。
- **到货港/口岸**：上海、广州、深圳、天津、大连等，影响物流和成本。
- **产季和船期**：嘎啦和富士的南半球/北半球产季不同，能否稳定供要看当季。
- **是否贴佳农品牌**：有的是佳农自营品牌，有的是代理或渠道货源。

简单说：**佳农进口嘎啦常见产地是新西兰、美国、智利；进口红富士常见产地是美国、新西兰、智利。** 但采购前一定要以佳农当季报价单和实际到货产地为准。
