针对社区超市想增加香蕉和苹果这类易损耗水果，我的建议是：**两者结合，以稳定供应商为主、本地批发为辅**。

具体操作建议如下：

1. **以稳定供应商（总经销商或大型果品公司）为主力**  
   - 理由：香蕉是典型的“后熟型”水果，对成熟度和冷链要求高；苹果虽耐储存，但损耗主要在搬运环节。稳定供应商能保证每天稳定供货、品控统一、价格波动小，且能提供退换货保障（如烂果包换）。  
   - 适合社区超市：因为社区店消费频次高但单次量小，稳定供应商的“小批量、高频次”配送最适合。

2. **本地批发市场作为补充和比价工具**  
   - 理由：本地批发市场（如水果批发市场）价格相对更低，尤其适合做“引流特价”（比如周末做2.99元/斤的苹果促销）。但缺点是：需自己搬运损耗、品质参差不齐、时间成本高。  
   - 建议：每周1-2次去批发市场补货，用于特价促销或临时缺货时应急。

3. **具体操作细节**  
   - 和稳定供应商谈：签订月结合同，要求“隔日送”或“每日送”，重点确认破损果换货比例（建议≥5%）。  
   - 拿本地批发做对比：每周记录一次稳定供应商的报价，去批发市场比价，若批发市场便宜超过15%，可考虑临时加大批发采购量。  
   - 损耗控制：香蕉进货量控制在3-5天能卖完的量（建议每天≤10把），苹果可备7天量，用周转筐轻搬轻放。

**最终结论**：  
- 日常80%的香蕉苹果走稳定供应商，保证新鲜度和售后。  
- 20%通过本地批发做特价引流，提升社区超市的客流和价格印象。  

如果您的社区超市本身有冷库或库存周转快（日销超过3箱苹果），也可以直接大幅提高批发采购比例，但需计算好自身损耗成本。
