商超做会员日水果活动时，供应商需提前从库存、物流、品质、陈列及人员等方面配合准备，具体如下：

1. **库存与订货准备**  
   - 提前与商超确认活动主推水果品类、预计销量，按历史数据增加备货量（建议上浮20%-30%）。  
   - 检查冷库/仓库容量，确保有足够存储空间，避免积压或断货。  
   - 准备促销装（如组合装、试吃装）、引流款（如特价小包装）和高毛利款。

2. **物流与时效协调**  
   - 与商超确认到货时间（通常活动前1-2天到店），安排冷链车或专用运输，确保水果新鲜度。  
   - 准备应急补货预案（如活动首日销量超预期，需能次日补货）。  
   - 核对商超收货标准（如重量、规格、包装材料要求）。

3. **品质与包装优化**  
   - 提前进行分拣，剔除次果、烂果；按商超要求进行分级（如一级果用于促销，二级果用于特价）。  
   - 更换统一、新颖的包装（如品牌联名袋、可降解托盘），突出“会员日专享”标识。  
   - 附赠试吃小样或厨房用湿巾等实用赠品。

4. **陈列与宣传物料**  
   - 设计并制作促销海报、价签、手举牌（包含“会员价”“限时特惠”字样）。  
   - 为商超提供独立堆头、端架或专区陈列方案，搭配防撞垫、冰袋等保鲜设施。  
   - 拍摄水果实拍图/短视频，供商超在社群或线上渠道宣传。

5. **人员与培训支持**  
   - 安排专职导购员（活动前2天到岗），负责试吃推荐、剥皮切块演示（如榴莲、菠萝）。  
   - 对导购进行产品卖点、会员权益（如积分兑换、满减规则）培训。  
   - 为商超理货员提供快速上货、补货的时间表（如早中晚各一次）。

6. **价格与会员系统对接**  
   - 确认会员专属价格或折扣（如非会员原价，会员8折），并测试商超POS系统能否识别。  
   - 准备“第二件半价”“买一送一”等联动方案，需提前绑定商品条码。

7. **售后与应急方案**  
   - 预留备用库存，以便替换品相不佳的水果（如表皮擦伤）。  
   - 明确退换货流程（如烂果当场换新），并与商超客服部门同步。  
   - 活动结束后48小时内完成结算对账，避免账期纠纷。

示例时间线：  
- 活动前7天：确认品项、库存；  
- 活动前3天：制作物料、人员培训；  
- 活动前1天：到货、陈列布置、系统测试。
