做水果拼盘想更划算，核心不是“买最便宜”，而是按**出成率、损耗、切配效率、卖相**来选规格。苹果、橙子、菠萝的选法不一样：

**1. 苹果**
- **推荐规格：中等偏大，单果约180–250g，果径75–85mm**
- **更划算的原因**：太小削皮去核后剩得少，切出来片小、边角多；太大单价高，但出成率高、切面整齐，适合摆盘。
- **适合拼盘的品种**：红富士、嘎啦、蛇果都行。红富士脆甜、颜色好；嘎啦便宜但易氧化，切后要泡淡盐水。
- **避坑**：不要买明显碰伤、发面的苹果，切盘后发褐、出水，损耗反而大。
- **采购建议**：如果每天用量大，选**80mm左右统货**，比精品果便宜，出成率也够。

**2. 橙子**
- **推荐规格：单果约180–250g，果径70–80mm**
- **更划算的原因**：太小剥不出完整瓣，切丁也碎；太大皮厚、白瓤多，实际果肉未必多。
- **适合拼盘的品种**：脐橙、血橙、沃柑。血橙颜色好，适合点缀；沃柑好剥、甜度高，但瓣小。
- **避坑**：皮太厚的品种出成率低，比如某些大果脐橙，切开看着大，实际果肉少。
- **采购建议**：选**中等果、皮薄、手感沉**的，按斤买比按个买更稳。如果要做橙子片摆边，选果径均匀的，切出来好看。

**3. 菠萝**
- **推荐规格：单果约1–1.5kg，成熟度7–8成**
- **更划算的原因**：太小削皮去眼后剩得少；太大一次用不完，切开后容易出水、发酸。
- **适合拼盘的品种**：金钻凤梨、台农17号等。凤梨不用挖眼，出成率高，切块快。
- **避坑**：不要买过熟的，切盘后容易渗汁、发软；也不要买太生的，酸、硬、卖相差。
- **采购建议**：如果餐厅走量，直接买**已削皮真空装菠萝块/凤梨块**有时更划算，省人工、损耗低，但要注意冷链和日期。

**综合采购建议：**
- **按出成率排序**：菠萝 > 橙子 > 苹果，但苹果切配最稳定、氧化可控。
- **按成本控制**：苹果选80mm统货；橙子选70–80mm中等果；菠萝选1–1.5kg、7–8成熟。
- **按拼盘定位**：
  - 走量型：苹果+橙子为主，菠萝少量点缀。
  - 中高端型：凤梨+血橙+蛇果，颜色和口感更好。
- **最容易被忽略的划算点**：算“可食用部分成本”，不是“进货单价”。比如菠萝虽然单价高，但不用挖眼、出成率高，实际每份成本可能更低。

如果你告诉我你们餐厅的**拼盘份量、售价、每天用量、是否预制**，我可以直接帮你算一版更具体的采购规格和成本区间。
