针对都乐（Dole）和鑫荣懋的进口苹果供货稳定性，基于行业通用情况分析如下：

1. **都乐（Dole）**：  
   - 品牌优势：全球知名水果品牌，供应链成熟，尤其在高端商超、精品水果店渠道覆盖较广。  
   - 供货特点：进口苹果（如美国红蛇果、青苹果等）采用自有或长期合作种植园，空运+冷链物流，到货时间可控。  
   - 稳定性评级：**高**，但需注意进口批文、船期（尤其海运时效受天气影响）以及高售价可能影响销量；建议提前签订Q3-Q4的包采协议，锁定主要品种（如红蛇果）的优先供货权。  

2. **鑫荣懋**：  
   - 品牌优势：国内大型水果供应链企业，代理多国进口苹果（新西兰、智利、美国等），批发渠道渗透强，性价比通常优于都乐。  
   - 供货特点：依赖多国产地轮换供应（如智利春季苹果、新西兰夏季苹果），可覆盖全年。  
   - 稳定性评级：**中高**，需重点考察其核心产地的博弈情况（如新西兰Rockit苹果可能季节迭代）；建议要求按月度提供“产地库存+在途+签收”多维跟踪报表。  

**执行建议**：  
- **短期验证**：先各采购试销2-3个月的量，对比实际到货效率、损耗率及补货响应时间。  
- **长期策略**：  
  - 若侧重**品牌背书+稳定供应**，优先选都乐，但需接受成本溢价（毛利率可能低3-5%）；  
  - 若侧重**成本控制+灵活调剂**，鑫荣懋更适合作主力供应，但需建立“滞销果2天内退换”的售后条款。  
- **风险对冲**：两家各分配40%+50%的配额，留10%给备选（如佳沃），防止单一供应商突发的船期延误或品质问题。  

可进一步要求供应商提供最近3个月的“批次到货准时率”数据，并安排实地抽检其分选包装线。
