判断香蕉一手货源的稳定性，不能只听口头承诺，必须通过**“实地考察+数据验证+合同约束”**三层筛选。以下是具体操作步骤和可执行的判断标准：

### 第一步：实地考察（核心）
1.  **看种植基地**：要求对方提供基地定位或邀请实地拜访。观察香蕉园是否成片、蕉株是否整齐、是否有病害（如黄叶病）。**如果对方是中间商，这步可以跳过，但一定要看他的冷库和分拣场。**
2.  **看库存与周转**：在非采收旺季（如冬季或台风季），直接去他的冷库看是否有库存。若冷库空空如也，说明抗风险能力弱，旺季容易断供。
3.  **看分拣和催熟设备**：稳定供应商通常有标准化分拣线和催熟库（乙烯气体催熟），如果只有简单的临时堆放，品质一致性难保证。

### 第二步：数据验证（关键）
1.  **要求提供近3个月的出货单/物流单**：让对方提供过去三个月实际发货的物流凭证或过磅单。**重点看发货频率是否稳定（比如每周固定发车），以及发货量是否符合他的基地规模。**
2.  **抽检“到货损耗率”**：可以要求先小批量试单（比如1-2吨），**到达批发市场后当众开箱检验**。稳定货源通常能控制在5%以内的损耗（包括掉把、腐烂）。如果试单损耗超过8%，直接淘汰。
3.  **询问价格波动应对机制**：问对方：“如果产地收购价突然上涨15%以上，你如何调整给我的价格？” 稳定供应商通常有锁定价格周期（如月度定价）或风险共担协议，如果对方说“随行就市天天变”，风险极高。

### 第三步：合同与资金流约束
1.  **签订长期框架合同**：合同中必须写明：**最低供货量（如每周不能低于X吨）、质量扣款标准（如腐烂>5%如何赔偿）、价格调整周期（必写）**。没有书面约束，口头承诺等同于零。
2.  **要求“货款对账周期”固定**：稳定供货商愿意接受月结或定期对账。如果对方坚持“款到发货”且价格低于市场价10%以上，警惕是骗定金的“皮包公司”。

### 最重要的**1个反向试探技巧**
**突然下一个小急单（比如明天要1吨，今天下午4点下单）**：
- 若对方能在2小时内给出明确答复（有货/无货/如何调货），说明供应链掌控力强。
- 若对方支支吾吾、拖延时间，或说“明天再看”，说明他本身也是从别处拼凑货源，稳定性差。

### 风险警示
- **永远不要预付大额订金**，首次合作最多预付20%，货到验收后再付尾款。
- 如果对方声称“基地直供，价格全网最低”，同时要求“一次性付清全年货款”——**这是典型的诈骗模式**，直接拉黑。

**最终决策建议**：先试单3次（每次2-3吨），观察两次采收季（约4-6个月），全部达标再签长期大单。记住：真正的稳定货源，是**你的品质投诉电话能打通并且有人处理**。
