如果只能优先抓一个，**先抓保质期管理**；但实际经营里这三件事要按优先级组合看：

1. **保质期（最优先）**
   - 菠萝切块属于**即食鲜切水果**，风险最高的是微生物超标和发酸变质。
   - 必须明确：切配时间、冷藏温度、售卖时限、过期下架规则。
   - 一般鲜切水果冷藏条件下建议**当天切当天售完**；如果做不到，至少要有严格的“到时废弃”制度，而不是只看外观。

2. **包装（第二优先）**
   - 包装直接影响二次污染、失水和氧化。
   - 建议用**食品级密封盒/覆膜托盘**，冷藏陈列，避免敞口摆放。
   - 包装上最好标清**切配时间/保质期**，方便店员和顾客判断。

3. **配送频次（第三优先，但影响损耗）**
   - 如果门店自己切，配送频次主要影响原料菠萝的新鲜度和库存周转。
   - 如果是中央厨房配送切块，频次就变得很重要：频次太低，门店要么缺货，要么积压到过期。
   - 原则是：**少量多次**，降低门店库存压力和过期风险。

**可执行建议：**
- 先定死规则：切配后冷藏，**X小时内售完，到点废弃**。
- 再选包装：密封、冷藏、带时间标签。
- 最后调配送：根据日均销量做**小批量、多频次**补货。
- 每天记录销量和报废量，连续看一周，再决定配送频次和每次切配量。

一句话：**保质期是底线，包装是保障，配送频次是优化。先保安全，再降损耗。**
