超市采购水果时，供应商通常需要提供的检测报告或进货证明，取决于**水果来源、品类、风险等级、超市验收制度**以及**当地市场监管要求**。一般可分为以下几类：

1. **主体资质证明**
   - 营业执照
   - 食品经营许可证，若供应商销售食用农产品，部分地区按食用农产品销售管理要求执行
   - 若为进口商，还需相关进出口经营资质证明

2. **进货来源证明**
   - 供货合同、订单、发货单、送货单
   - 产地证明或采购凭证
   - 批发市场销售凭证、进货台账
   - 进口水果需提供海关报关单、入境货物检验检疫证明

3. **质量合格证明**
   - 食用农产品合格证或产地准出证明
   - 供应商自检报告或第三方检测报告
   - 超市抽检、快检记录
   - 对高风险水果，如农残易超标品种，常要求提供农药残留检测报告

4. **检验检疫相关证明**
   - 国产水果一般不需要逐批检疫证明，但若来自疫区或涉及特定病虫害管控，可能需要植物检疫证书
   - 进口水果通常需入境货物检验检疫证明
   - 若为有机、绿色、地理标志等认证水果，还需对应认证证书

5. **标签与追溯信息**
   - 品名、产地、生产者或供应商名称
   - 生产日期或采收日期、批次号
   - 保鲜剂、添加剂使用情况，若适用
   - 进口水果中文标签

6. **超市内部通常重点查验**
   - 供应商是否在合格供应商名录内
   - 每批次是否可追溯
   - 检测报告是否在有效期内、是否对应批次
   - 感官是否正常，有无腐烂、霉变、异味
   - 农残快检是否合格

实际采购中，不同超市要求不同：
- **大型连锁超市**：通常要求供应商提供营业执照、食品经营许可证、批次检测报告、产地证明、进口报关和检验检疫证明等，并建立进货查验记录。
- **中小超市或农贸市场**：可能更看重食用农产品合格证、进货凭证和快检结果。
- **进口水果**：报关单、入境货物检验检疫证明通常是必备。
- **普通国产水果**：不一定每批都有第三方全项检测报告，但应有产地证明、合格证或进货凭证，并能配合超市抽检。

建议你直接向超市索要其《供应商准入清单》或《收货验收标准》，按清单准备最稳妥。若涉及具体城市或具体连锁超市，当地市场监管部门和超市采购部的要求可能更细。
