针对水果批发商的价格波动问题，建议根据实际情况采用**混合策略**，而非单一选择。具体如下：

1. **核心原则**：  
   - **高波动、易腐坏水果（如荔枝、草莓）**：优先每日议价，因为价格对供需和新鲜度敏感，长期签约风险较高。  
   - **耐储存、价格平稳水果（如苹果、柚子）**：可签1-2周短期合同，锁定合理利润，减少频繁议价成本。

2. **可操作建议**：  
   - **保底+浮动**：与供应商签订“底价+市场联动”协议，设定基准价，若市场价格波动超±10%，则按比例调整。  
   - **分品类管理**：将库存的30%用于长期合作（稳定供应），70%采取每日议价（追逐市场机会）。  
   - **使用期货/期权工具**：若交易量大，可通过农产品期货市场对冲价格风险，但需专业操作。  

3. **执行注意事项**：  
   - **每日议价**：要求你的询价系统3小时内覆盖至少5个产地/批发市场，避免信息滞后。  
   - **签约定价**：合同中明确“质量等级标准（如糖度、瑕疵率）”，防止供应商以次充好。  

核心结论：**对高波动水果用每日议价，对稳定品类用短期合同，同时用“保底+浮动”条款作为过渡方案**。
