三者都重要，但如果必须排序：**食品安全 > 配送准时 > 价格**。理由很直接：企业食堂是集体用餐，水果一旦农残、霉变或储存不当，影响面大、后果重；配送不准时会打乱食堂出餐和员工体验；价格重要，但通常排在底线和稳定性之后。

更可执行的判断方式：

1. **食品安全是准入门槛**
   - 供应商要有营业执照、食品经营许可、检测报告或承诺达标合格证。
   - 水果到货要查外观、气味、温度、包装、生产/采摘日期。
   - 高风险品类如切果、预包装果切，要求更严。

2. **配送准时是运营保障**
   - 企业食堂通常有固定开餐时间，配送晚到会直接影响供应。
   - 要明确配送时间窗、迟到处理、缺货补送、临时加单响应。
   - 对生鲜水果来说，准时还关系到新鲜度和损耗。

3. **价格是成本控制项，但不能牺牲前两项**
   - 价格要看综合成本：单价、损耗率、退换货、账期、配送费。
   - 报价明显低于市场价时，要警惕品质下降、以次充好或斤两不足。

所以采购策略可以是：**先设食品安全和配送准时的硬门槛，再在合格供应商中比价**。如果只能选一个最核心的，选食品安全；如果日常最影响食堂运转的，往往是配送准时。
