做稳定大客户时，账期和额度是谈判核心。以下是针对水果批发商与供应商谈判的具体建议：

### 一、谈判前的准备工作
1. **明确自身实力**  
   - 列举你的年采购量、历史订单稳定性、回款速度（如平均回款天数）、客户群体质量（如大型商超、连锁餐饮）。
   - 整理你的仓库容量、冷链运输能力、销售渠道铺货能力（证明你能快速消化库存）。

2. **调研供应商需求**  
   - 水果供应商最怕滞销（尤其易损品）、账期拖太久导致现金流断裂。他们的痛点：**快速回款、稳定走量、降低损耗**。

### 二、账期谈判策略（从短到长，阶梯式申请）
- **首单/首次合作**：坚持“现结”或“3-7天账期”，双方磨合信用。  
  *话术：* “这批货我们着急铺市，首单先现结，后续合作稳定了再商量账期。”

- **3次以上稳定合作后**：申请“15天账期”，但承诺**每次到货后24小时内核对数量、48小时内给收款凭证**。  
  *可附加条件：* 你主动承担“货到后2日内因你方原因未卖出的损耗”（适当分担风险能换更长账期）。

- **长期大客户（年采购额百万级以上）**：争取“30-45天账期”，但建议用**承兑汇票**或**银行保函**背书。  
  *底线：* 明确约定账期到期日前3天，供应商可否通过降低下次采购价（如打95折）争取你提前付款。

### 三、额度谈判核心（用采购量换授信）
- **基础逻辑**：额度=你的月均采购额×安全系数（通常0.5-1倍）。  
  - 例如你月均采购20万，首次额度可谈至10-15万。  
  - **谈判话术**： “首月我先押10万保证金，你们给20万额度，我用完就补上——这样你们零风险。”

- **动态调整机制**：  
  - 每月对账无误且按时回款，次月额度自动提升15%-20%。  
  - 连续6个月无逾期，申请“淡季上浮额度”（如春节前、水果旺季前，额度可临时上调至年采购额的1.5倍）。

### 四、水果品类差异化谈判技巧
- **易耗品（草莓、荔枝等）**：供应商急出手，可要求**超短账期（5-7天）+高额度**，换取你优先包销。  
  *条件：* “给我独家包销权，我保证3天内消化完，给你现结，下次你批发价让利5%。”

- **耐储存品（苹果、梨、柑橘等）**：账期可长短结合。  
  - 正常批次15天账期；  
  - 如果你帮供应商处理库存量大的尾货，可用“1个月账期+低折扣采购价”换取。

### 五、风险控制建议（防止对方断供）
1. **分阶段付款**：首次谈判成功时，把合同拆分为“基础货物条款+补充协议”。  
   - 补充协议注明：若供应商无故断货，需赔偿你因断货导致的客户流失损失（按上个月该类水果销售额的20%比例赔偿）。

2. **备用供应商**：不要只绑一家。和2-3家供应商谈“排他性合作”（比如主营业务量70%给一家，30%给另一家），既能拿优额，又能防对方涨价。

### 六、具体话术模板（针对账期未达成）
**供应商拒绝延长账期时**：  
> “李总，我知道你们怕拖款。这样：我给您签个**书面承诺书**——如果我超账期哪怕1天，您不仅有权立即停货，我另按超期金额的20%赔偿您。但前提是，您把额度给我放到20万，账期给我30天。我上个月供应链报表可以给您看：我的下游客户平均回款周期才22天。这是互利。”

**对方犹豫额度时**：  
> “这批西瓜我调了3辆冷链车，24小时内能铺满6家超市。您要是能给我现在提货（零账期+现结），下周我帮您把这批货的10%用批发价直接消化掉。但您得给我先提30万货的额度——当然，3天内我就回您80%货款。”

### 总结操作清单
1. 准备近6个月的销售流水、客户回款凭证（证明你下游稳定）。  
2. 首单主动“现结”建立信任。  
3. 后续用“付款履约保证金”或“损耗共担”换更长账期。  
4. 强调你的渠道优势（如你超市客户占60%，能快速消化库存）。  
5. 永远准备B方案（联系另一家供应商压价）。  

核心公式：**账期/额度 = 你的历史信用 + 渠道价值 + 风险分担诚意**。
