针对茶饮店旺季菠萝用量突然增加的情况，与供应商约定临时补货时，建议按照以下步骤操作，确保效率与成本平衡：

1. **提前沟通确认需求**  
   - 立即联系供应商，明确说明临时补货的**具体数量**、**所需规格**（如去皮/带皮、切块/整果、新鲜/冷冻）以及**期望到货时间**（如“明天上午10点前”）。  
   - 询问供应商当前库存是否充足，如果不足，同步沟通其能否协调其他货源或提供替代方案（如预售、分批到货）。

2. **确认价格与条款**  
   - 明确临时补货是否触发**加急费**、**物流附加费**，或是否适用原有合同单价（若在旺季前已签协议，可援引“紧急增补”条款）。  
   - 要求供应商提供**报价单**或书面确认价格，避免后续争议。若价格有变动（如旺季上浮），可协商用量折扣或长期合作返点。

3. **约定交付与质检标准**  
   - **交货时间**：明确到货时间节点，并设置缓冲期（如“若延迟超过2小时，需补偿损耗或减免部分费用”）。  
   - **质量验收**：要求供应商在送货时提供**新鲜度证明**（如采摘日期、冷链温度记录），或在收货时现场抽检（腐烂率、成熟度）。  
   - **退货/换货条款**：约定发现问题（如腐烂、规格不符）后，供应商需在多少小时内补发或退款。

4. **书面确认并保留凭证**  
   - 无论口头沟通多顺畅，务必通过**微信、邮件或合同**补充协议书面确认订单细节（数量、价格、时间、违约责任）。  
   - 保留聊天记录、付款凭证、物流单号等，作为后续对账或纠纷依据。

5. **灵活应对库存与现金流**  
   - 若供应商无法一次性满足，可协商**分批次补货**（如今天50斤，后天100斤），并同步调整门店用量（如增加菠萝占比的促销活动）。  
   - 付款方式可争取**货到付款**或**30天账期**，避免旺季资金压力。若需预付，尽量减少比例。

**简要示例话术**：  
“王经理，我们门店菠萝用量突然翻倍，明天需要紧急加单200斤去皮去芯菠萝块，能否今天下午发货？运费和原有合同一致吗？如果延迟到货，能否按0.5元/斤补偿损耗？请书面确认。”  

**风险提醒**：  
- 旺季供应商可能同时服务多家客户，建议沟通时强调“长期合作”或“优先供应”，避免被竞品抢单。  
- 若对方临时要求加价，可立即横向联系备选供应商（如批发市场、其他水果商），避免被动。
