第一次做水果生意，试单的核心逻辑是：**用最小成本测出三个东西——供货商的稳定性、水果的实际品质、以及你周边顾客的口味偏好。** 千万不要一上来就大量囤货。

以下是针对香蕉、苹果、橙子的具体试单操作指南：

### 第一步：选“少而精”的试单策略
**不要一次找3个供货商**，那样你根本分不清是货的问题还是人的问题。

- **主供货商（1家）**：找一家距离你最近、且能亲自去档口看的批发商（哪怕多花10-20元运费也值得）。
- **备选供货商（1家）**：在线上（如拼多多批发、美团快驴）找一家评分高的，用来对比价格和品质。

### 第二步：针对三种水果的“试单关键点”

**1. 香蕉（最考验周转速度）**

- **试单量**：**1-2箱**（不要超过2箱）。
- **试单要点**：必须明确告诉供货商“我要的是**青皮蕉**还是**微黄蕉**”。第一次试单，建议拿**微黄（七成熟）**的，因为青皮蕉你放不熟就坏了，而微黄蕉在店里能放2-3天自然熟。
- **怎么判断好坏**：看香蕉的“把柄”是否发黑，果皮是否有磕碰压伤。试单时要问清“如果有一半是坏的，怎么赔偿？”（业内一般按“损耗比例”折价，而非全赔）。

**2. 苹果（看渠道，不看大小）**

- **试单量**：**只拿一箱**（约30-40斤）。
- **试单要点**：苹果水很深，同样叫“红富士”，价格从2块到8块都有。第一次不要贪便宜，直接**明确要“条红”还是“片红”**，以及**产地**（新疆阿克苏、山东烟台、陕西洛川口感差异极大）。
- **怎么判断好坏**：拿货时**当场切开一个**看果心是否发黑、是否有糖心（糖心不耐放）。同时**问清楚是“全果包纸”还是“裸果”**，裸果在运输途中容易磕碰。

**3. 橙子（核心是“化渣度”和“酸度”）**

- **试单量**：**一筐（约20斤）**，不要多拿。
- **试单要点**：橙子试单的关键不是甜，而是**皮厚不厚**。试单时要求供货商提供一个“果径”区间（比如70-75mm），**明确要“果皮薄”的品种**（如赣南脐橙、爱媛果冻橙）。
- **怎么判断好坏**：当场**用手掂量重量**——同样大小的橙子，越沉说明水分越足。同时拿一个剥开看**“白瓤”是否容易分离**，如果很难剥，说明果皮厚，顾客会嫌弃。

### 第三步：签“试单协议”（口头也行，但要录音）
在正式付款前，跟供货商把以下三句话说清楚，并且**录下音或让他写在发货单上**：

1. **“这批货，如果到店后损耗超过10%，剩下的按半价结账，或者你上门调换，行不行？”**（大部分批发商敢答应，说明货底子好）
2. **“明天我拿货，如果红富士这批发酸，下批我不要，你要给我换。”**（锁定品质底线）
3. **“运费谁出？到店后是直接搬下车还是要我自己加钱叫搬运？”**（很多隐形费用在运费上）

### 第四步：试单后的“24小时测试”
试单成功的标准不是“这批货卖完了”，而是**看第二天的残次品率**：

- 如果**香蕉第2天出现大量黑斑**、苹果**3天内出现碰伤塌陷**、橙子**表皮出水**——说明这批货是“陈货”，供货商不靠谱，直接换下家。
- 如果**苹果放5天依然脆爽**、橙子**常温放一周不干瘪**——这个供货商可以下大单。

### 最后给你一个“防坑”具体建议：
**不要在第一次试单时付全款。** 无论供货商怎么催，坚持**“先拿货，卖完三天内结账”**。如果你坚持付现款，一定要加一句：“这批货如果有问题，我拿了就不管了，下次不合作。”——这样能筛掉大部分做一锤子买卖的中间商。

> 试单最忌讳的是“这箱拿点那筐拿点”，一定要**每一款只拿一箱/一筐**，集中精力分析这单一箱的损耗率。等你连续试单3次都稳定，再考虑谈“阶梯价”。
