关于菠萝供应商的产地溯源与透明度问题，都乐（Dole）和洪九果品（Hongjiu Fruit）在行业内有不同的运营模式与透明度表现：

1. **都乐（Dole）**：
   - 全球性品牌，拥有完善的溯源体系，通常通过批次码、种植基地信息、采摘与包装日期等提供详细追溯。
   - 在其官网或包装上常见“从农场到餐桌”的信息披露，如种植国家、农场编号、认证（如GlobalG.A.P.）等。
   - 透明度较高，尤其针对出口到欧美或高端市场的菠萝产品。

2. **洪九果品**：
   - 国内大型水果供应链企业，主营进口与国产水果，但菠萝供应链以进口（如菲律宾、越南产地）为主。
   - 近年逐步加强溯源能力，但具体到每个批次能否完整提供产地、农场、运输信息，取决于客户要求与渠道（如超市、电商）。
   - 透明度相对较低，更多依赖下游合作伙伴或品牌定制，散户或中小客户可能无法获得详细原生信息。

**对比结论**：如果严格比较产地溯源透明度，**都乐通常更优**，因其全球化标准、认证与公开数据更成熟；洪九果品虽在改进，但其主要优势在渠道和规模化供应，而非每个批次的可追溯细节。

**建议**：
- 直接联系都乐中国区销售或洪九采购，要求提供单个产地的“溯源二维码”或“农场批号”测试。
- 对于长期合作，要求供应商出具**产地证明**与**第三方检测报告**（如SGS），以契约方式锁定透明度。
- 如果目标是国内本土菠萝，可以优先考虑**海南、广西本地有“农产品地理标志”或“绿色食品”认证的供应商**，他们通常能提供更直接的生产记录。
