我没有佳农和鑫荣懋在华东地区最新的配送时效数据，也没法核验它们当前对上海门店的次日达承诺，所以不能直接说哪家更快。要判断哪家能满足你上海门店“次日达”，建议用下面这套可执行的方法来比对，当天就能得到结论：

1. **先确认配送模式**
   - 问清楚是“总仓直发上海门店”、还是“华东区域仓/上海本地仓发货”。
   - 次日达通常取决于**发货仓到门店的距离**和**截单时间**，不是只看品牌。
   - 重点问：上海门店是否在对方的“次日达服务范围”内。

2. **向两家各要一份书面时效承诺**
   - 要求提供：上海门店的**截单时间**、**预计送达时间**、是否含周末/节假日、冷链品类是否同样时效。
   - 最好让对方在报价单或合同里写明“次日达”及超时赔付/补偿条款。

3. **做一次小批量实测**
   - 同一天、同一时间向两家各下一单到上海同一门店，记录：下单时间、出库时间、到店时间。
   - 这是最可靠的方式，比销售口头承诺更准。

4. **问清异常处理**
   - 缺货、冷链车延误、天气/交通管制时怎么处理。
   - 是否有上海本地配送团队或长期合作的城配承运商。

5. **直接问对方这几个问题**
   - “上海门店是否支持次日达？截单时间是几点？”
   - “从哪个仓发货？华东仓还是上海仓？”
   - “如果次日没到，怎么赔付？”
   - “水果冷链品类是否也保证次日达？”

如果你能提供以下信息，我可以帮你把判断条件列成一张更具体的对比表：  
- 上海门店具体区域（如浦东、闵行、嘉定）  
- 是常温水果还是冷链水果  
- 每天大概下单量和截单时间  
- 是门店直配还是前置仓/经销商中转
