给小店供货时，香蕉和菠萝的分级报价建议采用“直观、统一、易核对”的原则。以下是具体的分级和报价方法：

### 一、香蕉分级报价参考
1. **品质分级（按外观和成熟度）**  
   - **特级**（用于鲜食零售）：无疤痕、无黑点、果条形均匀、成熟度七成（果皮全黄带绿尖）。  
   - **一级**（普通零售或切配）：少量轻微疤痕、允许个别黑点、果形基本一致。  
   - **二级**（用于加工或促销）：较多黑点或局部压伤、果形大小不均，但果肉完好。  
   *注意：小店通常需要特级或一级，二级适合做特价引流。*

2. **报价示例**  
   - 特级：4.5元/斤  
   - 一级：3.8元/斤  
   - 二级：2.5元/斤  

3. **价单备注**  
   - 明确等级对应的成熟度标准（如“果皮全黄”“允许轻微机械伤”）。  
   - 标注“按斤计价，整箱售卖”，避免挑拣。

### 二、菠萝分级报价参考
1. **品质分级（按大小和熟度）**  
   - **大果**（单果＞1.5斤，适合鲜切零售）：果眼整齐、无软化、果皮金黄带绿。  
   - **中果**（单果1-1.5斤）：允许少量斑点，但无腐烂。  
   - **小果/特价果**（单果＜1斤或轻微瑕疵）：用于活动或低价处理。  

2. **报价示例**  
   - 大果：6.0元/斤（或按个：9元/个）  
   - 中果：4.5元/斤（或6元/个）  
   - 小果/特价果：2.5元/斤（或按筐价，如25元/筐约10斤）  

3. **注意事项**  
   - 菠萝有“眼冠”和“底部切口”的变质风险，写在价单上提示：**“底部切口新鲜，无发黑”** 作为特级标准。  
   - 如果小店自行切售，按斤报价；若小店直接整只卖，建议按个报价（更直观）。

### 三、让分级报价更清楚的实用技巧
1. **给每级一个名字**（如：零售级、标准级、经济级），避免纯数字易混淆。  
2. **价单贴在周转箱上**：用不同颜色标签区分等级（如红色=特级，黄色=一级）。  
3. **提供“标准样品箱”**：让第一次订货的小店看到实物对应等级。  
4. **灵活调整**：  
   - 如果小店一次性进货量大（如香蕉10箱以上），可统一按“整箱价”再打折扣（例如特级香蕉箱价优惠5%）。  
   - 对于菠萝，能连续进货的小店可参考“周转筐押金制”，按筐计价（如大果一筐20斤，80元/筐），减少称重时间。  

### 四、避免纠纷的小提醒
- **拍照留底**：每批发货前拍一张分级箱照片，发给小店老板确认等级。  
- **退换规则**：明确说“特级拒收黑果超过5%，超出按一级补差价”，避免扯皮。  
- **时间差**：香蕉运送后熟度会变化，注明“运输后成熟2天左右食用最佳”，让小店理解保质期。  

简单来说：**等级清晰、价格对应、样本直观、退换透明**。如果刚开始合作，建议先拿一箱特级和一箱一级给小店对比，他看了心里有数，之后报价不用多解释。
