对小水果店来说，这四个因素不是同权重的，但也不能只看一个。更实用的排序是：

**坏果率 ＞ 熟度 ＞ 送货速度 ＞ 价格**

原因很简单：香蕉是**高损耗、快周转、强时效**的水果，小店的利润往往不是被进价吃掉的，而是被烂掉的、卖不掉的、砸在手里的货吃掉的。

具体判断可以这样看：

1. **坏果率最优先**
   - 坏果率一高，表面进价再便宜都可能亏。
   - 小水果店没有大批量分拣、加工、做果切的能力，坏果基本等于直接损失。
   - 建议：先看整箱有没有黑斑、压伤、发霉、柄部腐烂，别只问“多少钱一斤”。

2. **熟度第二重要**
   - 香蕉太生：当天卖相差，顾客买了不能马上吃，回头客少。
   - 香蕉太熟：两三天卖不掉就发黑，损耗极高。
   - 小水果店最好进**微黄到半黄、还能放1—3天**的货，分批进，不要一次进太熟。
   - 如果你主要做街坊即时消费，可以适当进熟一点；如果走量慢，就进生一点。

3. **送货速度第三**
   - 香蕉周转快，送货慢会导致你错过销售窗口，尤其是夏天。
   - 但送货速度再快，如果货本身坏果多、熟度不对，也没用。
   - 小店的理想状态是：**稳定、准时、能小批量补货**，比“偶尔特别快”更重要。

4. **价格放最后，但不是不重要**
   - 价格要在**坏果率低、熟度合适、送货稳定**的前提下再比。
   - 如果一家便宜但坏果多、熟度乱，实际成本可能更高。
   - 可以算“到手可卖成本”：  
     **实际可卖成本 = 进价 ÷ 可卖比例**  
     比如进价2元/斤，坏果和过熟损耗30%，实际可卖成本约2.86元/斤，不一定比进价2.5元但损耗10%的货便宜。

**给小水果店的实操建议：**
- 先固定1—2家**坏果率低、熟度稳定**的供应商。
- 每次进货少量多次，别贪便宜一次压太多。
- 夏天更看重熟度和送货速度，冬天可以稍微放宽。
- 如果做促销，用**稍熟但没坏**的香蕉走量，别把好货压到坏。
- 记录每批货的到货熟度、坏果率、几天卖完、实际损耗，几次之后你就知道该选谁。

一句话：**小水果店进香蕉，先保“能卖、少烂”，再谈“便宜、送快”。**
