结论：**大多数商超更适合“整果为主、切果为辅”的组合，而不是二选一。**  
如果只能选一种，优先**卖整果**；如果门店客流快、年轻客群多、试吃和损耗管控强，可以加大切果比例。

具体判断看这几个维度：

1. **毛利与损耗**
   - 整果：损耗低、操作简单、毛利稳定，适合大多数商超。
   - 切果：单价和毛利通常更高，但去皮、去眼、氧化、出水、冷藏过期都会拉高损耗。切果卖得好不好，核心不是售价，而是**损耗率能不能压住**。

2. **客群与场景**
   - 社区店、中老年客群多、家庭采购多：整果更好卖。
   - 商圈店、年轻客群、办公室人群、即买即吃场景：切果更好卖。
   - 如果门店靠近学校、写字楼、地铁口，切果需求通常明显更强。

3. **门店运营能力**
   - 有专人现切、冷藏陈列、每日多次补货、能及时打折处理临期切果：适合做切果。
   - 人手紧、排班不稳定、没有冷链陈列：整果更稳妥。

4. **建议经营方式**
   - **整果区**：做主推，走量，做价格锚点。
   - **切果区**：做补充，针对即时消费，小盒装、少量多次出。
   - **组合销售**：整果旁边放切果试吃或小盒，能同时覆盖家庭客和即时客。
   - **动态调整**：先小批量试切，观察3—7天。如果切果损耗率超过15%—20%，就要减少切果比例或改回整果为主。

5. **简单决策标准**
   - 客流慢、家庭客多、人手少：**卖整果**。
   - 客流快、年轻人多、有人工和冷柜：**整果+切果**。
   - 只想省事、控损耗：**整果为主**。
   - 想提客单和毛利、且能控损：**切果为辅，逐步放量**。

一句话：**整果保基本盘，切果做增量。先试销，再按损耗和动销决定比例。**
