针对进口菠萝旺季缺货的情况，可参考以下应对建议及都乐、洪九果品可能的应急方案：

### 直接应对建议
1. **短期替代方案**：  
   - 调整采购优先级：优先采购其他产地（如菲律宾、泰国、哥斯达黎加）的同期菠萝，或转向国产菠萝（如海南、广东催熟品种）。  
   - 库存缓冲：与非旺季供应商签订短期协议，或提前锁定冷库库存。  
   - 促销替代品：推广凤梨、芒果、木瓜等可替代水果，避免断货影响销售。

2. **长期策略**：  
   - 建立多产地供应链：分散采购风险，例如同时布局菲律宾（主产季）、哥斯达黎加（反季节）等。  
   - 与产地合作预产计划：提前数月预订菠萝产能，规避旺季缺口。  
   - 即时沟通渠道：通过批发市场、物流平台实时获取替代货源信息。

### 都乐（Dole）可能的应急方案
- **库存调配**：利用其全球冷库网络，紧急调拨菲律宾、泰国等产地的菠萝库存至中国。  
- **临时替代供应**：联合哥斯达黎加等多国基地，开发现货规格（如小包装、速冻产品）填补缺口。  
- **客户支持**：对长期合作伙伴优先供货，或提供“菠萝+其他热带水果”组合替换方案。

### 洪九果品可能的应急方案
- **国内替代**：调动海南、广西的催熟菠萝产区资源，缩短运输周期。  
- **现货采购**：通过其数字化平台“洪九星球”紧急撮合东南亚产地直供，利用冷库中转站快速分拨。  
- **灵活包装**：将滞销产地的次果加工为菠萝切片、冻干等产品，减少损耗并部分替代鲜果供应。

### 其他可操作的行动建议
- **联系供应链平台**：通过全联集采、果汇网等B2B平台获取实时“缺货求购”匹配。  
- **临时调整零售端**：对消费者提前告知缺货原因，推出“菠萝搭配套餐”（如菠萝+椰子、菠萝+青柠）稳定需求。  
- **关注政策**：若旺季缺货受气候或检疫影响，可申请海关或农业部门的应急进口配额。

如果是大批量采购，建议直接联系都乐或洪九果品的区域销售经理获取最新库存信息；小批量需求可优先通过国内产地的“菠萝应急调货热线”（如海南菠萝协会、广州江南果批市场）解决。
