对于餐饮连锁采购水果，建议采用**中央厨房统一收货**为主、**门店灵活补货**为辅的模式，具体需根据水果的特性、门店规模和品类复杂度权衡。以下是关键分析：

### 一、优先推荐：中央厨房统一收货
**适用场景**：水果品类多、需标准化加工（如切配、分装）、门店超过5家、中央厨房有冷链能力。

- **优势**：
  1. **质量可控**：统一验收标准（成熟度、大小、新鲜度），剔除劣果，避免门店误收。
  2. **成本降低**：大宗采购降低单价，减少门店单独订货的运输和损耗成本。
  3. **加工增值**：可预洗、切配、分装，减轻门店准备压力，提升出品一致性。
  4. **损耗集中管理**：中央厨房可二次分拣（如将过熟水果用于果酱），减少门店报损。

- **操作建议**：
  - 采用**日配或隔日配**，根据门店销量预测分批配送；使用冷链车和冷链包装（如带孔透气箱）。
  - 对易损水果（如草莓、芒果）建议每日配送；对耐储水果（如苹果、橙子）可2-3天一次。

### 二、但需谨慎：部分门店需灵活补货
**例外情况**：
- **距离极远（>150公里）或单店体量过大**：中央厨房配送时间长，易导致水果变质。此时可对门店授权小额直采（如每日需<50公斤的本地时令水果）。
- **季节性网红水果**：若门店需即时响应消费者需求（如突然爆火的阳光玫瑰葡萄），可允许门店直接联系区域供应商，但需报备总价和来源。

### 三、具体执行步骤
1. **中央厨房流程**：
   - 采购：统一签约3-5家核心供应商，签订“不合格果率≤5%”条款。
   - 验收：使用色差仪、糖度计等工具，每日抽检10%批次。
   - 分配：按门店历史销量+天气因素（如雨天减少绿叶占比）生成订单，误差控制在±15%。

2. **门店端**：
   - 只接收已分拣好的标准化包装（如已切西瓜盒、已去蒂草莓盒）。
   - 建立“应急订单”通道（如门店发现腐烂率突增，可当天14:00前追加次日补货）。

3. **损耗管控**：
   - 中央厨房设立“瑕疵水果处理区”：做果切、果汁或烘焙原料（如芒果酱），成本可降低50%。
   - 门店实行“先进先出”+每日盘点，损耗率目标≤3%。

### 四、综合结论
- **如果中央厨房已经具备成熟冷链体系**：统一收货能降本20-30%，且品控更稳定。
- **如果门店数量少（<3家）或均为独立操盘**：可暂时由门店直采，但需统一供应商名单和验收标准。
- **最佳实践**：先试点5家门店运行中央厨房模式，对比损耗率和顾客投诉，1个月后再全面推广。
