商超会员日水果活动的供应商提前配合准备建议：

1. **货源与库存准备**  
   - 根据活动预估销量（商超提供历史数据或活动规模），提前3-7天备货，确保品种齐全（如爆款、应季、高毛利商品）。  
   - 预留5%-10%的应急库存，应对突发需求。  
   - 检查商品保质期，确保生鲜水果新鲜度（如采摘后72小时内到货）。

2. **品质与品控**  
   - 提前内部抽检：剔除坏果、畸形果，按商超标准分级包装（如单果重量、色泽、成熟度统一）。  
   - 预包装水果需检查标签、生产日期、产地信息是否清晰合规。  
   - 特殊品种（如榴莲、山竹）需额外关注运输温度、防撞包装。

3. **价格与促销政策确认**  
   - 与商超采购确认会员日专属价、满减/折扣规则（如会员价不与其他优惠叠加）。  
   - 提供成本核算表，明确活动期间供应商承担的成本比例（如部分让利或赠品支持）。  
   - 制作限时爆品清单，标注数量限制（如“每日限量100份”）。

4. **物流与配送协调**  
   - 与商超确定配送时间（如提前2天到货、分批次到货补货）。  
   - 根据门店动线调整货架陈列方案（如高流量区、试吃区位置）。  
   - 提供冷链车辆运输温度记录表（如草莓需0-4℃）、防挤压包装方案。

5. **人员与现场支持**  
   - 安排1-2名导购或促销员负责试吃、产品讲解、现场切割服务。  
   - 提供试吃样品及卫生耗材（牙签、手套、垃圾桶），试吃品需独立包装且有效期清晰。  
   - 提前培训促销员：掌握会员价规则、退换货政策、库存储备话术。

6. **突发预案**  
   - 准备备用货源（如合作农户或二批商应急调货）及运输方案（如备用冷链车）。  
   - 制定客诉处理流程：如果品质量不达标，供应商需承诺24小时内退换或鲜果补发。

**建议操作清单**：  
活动前3天 → 确认价签设计、库存清单；活动前1天 → 完成抽检、试吃品就位；活动当天 → 早7点前完成陈列，全程跟随促销员现场调整补货。
