判断香蕉一手货源是否稳定供货，可以从以下几个方面入手核查，确保供应链可靠：

1. **实地考察产地与种植基地**  
   - 若对方声称是海南、广西、云南、老挝、越南等主产区的一手货源，要求实地验看香蕉种植基地或加工厂。观察香蕉长势、病虫害防护（如黄叶病）、灌溉设施及采收计划。稳定供货的基地会有全年产期规划（如海南产季在3-6月，老挝基本全年供应）。

2. **核实资质与往年交易记录**  
   - 要求提供营业执照、种植/收购许可证、检疫证明等。通过“国家企业信用信息公示系统”查企业存续状态和行政处罚记录。稳定供货商往往有长期合作的下游客户（如批发市场、连锁超市），可要求提供部分客户名单或交易流水（可打码处理）。

3. **考察仓储与冷链能力**  
   - 香蕉对温度敏感（最佳储存13℃-14℃）。稳定的供货商需具备冷库（可周转至少3-5天库存）和冷链车。若对方连恒温仓库都没有，很难保证连续供货不断档。

4. **询问具体供货周期与应急预案**  
   - 直接问：“如果我要连续6个月每周要100吨，你能保障吗？” 稳定供货商能明确给出：
     - 不同月份的主产区切换方案（如5月后转云南、7月后转广西）
     - 突发天气/疫情下的备选货源（如老挝、缅甸边境渠道）
     - 每次采摘到发货的固定时间表（如24小时内完成预冷+包装）

5. **索要样品并小批量试单**  
   - 要求付运第一批试单（例如10-20吨），观察：
     - 到货成熟度是否一致（7-8成熟最佳）
     - 果型饱满度、果指长度（大于18cm为佳）
     - 无黑星病、炭疽病斑等外观问题
     - 运输保鲜效果（2-3天后是否出现提前变黄或腐烂）

6. **留意行业黑话与可疑信号**  
   - 避开三类不靠谱信号：
     - 只提供手机号/微信号，无固定办公或仓库地址
     - 报价低于市场均价20%以上（警惕以次充好或断供风险）
     - 声称“全年包山供应”却无法说出具体产地天气影响（如老挝雨季5-9月易涝）

**实操建议**：  
优先锁定供应基地年产量超5000吨的规模户。建立合作后，可分3-4批递增订货额（首月50吨→次月100吨→200吨），同时保留2个备用供货商（如不同主产区或进口商），以应对突发断供。
