挑选香蕉时，可以从**外观、手感和成熟度信号**三个维度入手，做到“到店刚好可吃，放2-3天不坏”。

以下是具体可操作的建议：

### 一、 明确你的“到店时间”
这是最关键的一步，因为香蕉是后熟水果，到店后还会继续变熟：

- **当天/明后天就吃**：选**全黄、带少量芝麻点（黑点）**的。这种硬度适中，甜度最高。
- **2-3天后吃**：选**全黄但无黑点**，捏起来微微硬但能按动一点点的。
- **囤货/一周左右吃**：选**黄中带绿**（约70%黄，30%绿）的。这种买回去放常温，几天后正好熟。

### 二、 避开“太生”的雷区
- **看颜色**：如果是**整体青绿、毫无黄色**，说明刚从冷库出来未催熟，到店后可能又硬又涩，需要放很久。
- **摸硬度**：捏着**硬邦邦、纹丝不动**的，大概率生。
- **看棱角**：香蕉表面的**棱角（纵向线条）非常分明、突出**，说明还没充分成熟。

### 三、 避开“太熟/过熟”的雷区
- **看黑斑**：香蕉表皮出现**大面积的褐黑色斑块**，或者**黑色斑点连成片**，说明过熟，内部可能软烂变质。
- **摸手感**：捏起来**软塌塌、没有弹性**，表皮容易破，说明已经熟透甚至发酵。
- **闻气味**：如果有**明显的酒味**或酸味，说明已经发酵变质，千万别买。

### 四、 超市现场实操技巧（进阶）
1. **按部就班**：超市香蕉通常是按成熟度分批摆放的，**直接拿货架中间层偏下的**，往往比最上层（常被翻动，挤压易熟）和底层（可能是未补货的新货）更理想。
2. **整把检查**：不要只拿最外面那根，**翻到背面看**，背面的香蕉常更生硬。
3. **看“蕉柄”**：蕉柄（连接处）如果是**绿色**，说明刚切下来不久，比较新鲜；如果蕉柄已经**发黑干枯**，说明存放时间较长。

### 五、 到店后的补救方案（如果买错了）
- **买太生了**：和**苹果或梨**一起放进纸袋，常温密封，苹果释放的乙烯会加速催熟。
- **买太熟了**：剥皮后**冷冻**，做成香蕉奶昔或冰沙；或者立刻做香蕉蛋糕/香蕉煎饼，不浪费。

**最终建议**：如果你不确定，**优先选“全黄、无黑点、带一点棱角但不明显、捏起来有弹性但不软”**的，这是最稳妥的“刚好可吃”状态。
