先明确一句：超市做水果采购，光靠供应商给一份“检测报告”通常不够。你要能**追溯、能核验、能对应到批次**。建议按下面清单要资料，并按重要性排序。

## 一、必须优先要的（基础三件套）

1. **营业执照 + 食品经营/生产相关许可证**
   - 确认供应商主体合法，经营范围包含水果/食用农产品。
   - 如果是种植基地直供，要种植主体的营业执照或合作社登记证。

2. **每批次的检测报告**
   - 关键不是“有没有”，而是**报告是否对应你采购的这批货**。
   - 要确认：样品名称、产地/基地、采样/送检日期、检测项目、检测方法、判定依据、结论、报告编号、检测机构资质。
   - 重点看是否覆盖农残项目，如有机磷、氨基甲酸酯、拟除虫菊酯等常见项。不同水果风险项不同，最好让供应商说明依据。

3. **承诺达标合格证 / 产地证明**
   - 国内食用农产品常用“承诺达标合格证”，能证明生产者对农残等指标作出承诺。
   - 要能对应到具体品种、产地、批次或采收日期。

## 二、强烈建议要的（提高可追溯性）

4. **批次追溯信息**
   - 批次号/采收日期/包装日期/发货日期。
   - 种植基地名称、地址、负责人联系方式。
   - 采收记录、投入品使用记录，尤其是农药名称、使用时间、安全间隔期。

5. **供货凭证与物流信息**
   - 送货单、发票或随货同行单，必须和检测报告批次一致。
   - 冷链或运输记录，虽然不直接管农残，但能辅助判断货品管理是否规范。

6. **供应商自检或第三方抽检记录**
   - 如果供应商有自有快检室，可要最近一段时间的自检记录。
   - 第三方抽检报告比单批次送检更有说服力，但也要看是否覆盖你的品种和产地。

## 三、如果供应商拿不出，怎么判断风险

- **只有一份“通用报告”，不对应批次**：风险高，不能作为该批货的合格依据。
- **报告日期很久，比如几个月前**：只能参考，不能替代本批次。
- **检测项目很少，只测一两个农残**：覆盖不足，尤其叶菜、豆类、草莓、葡萄等高风险品类。
- **报告机构查不到资质**：要求换有 CMA/CNAS 资质的机构报告。
- **拒绝提供产地和批次信息**：建议不采购，或至少做入市前快检。

## 四、超市自己还要做的动作

- **入市前快检**：对高风险水果做农残快检，保留记录。
- **抽样留样**：每批留样，万一抽检不合格可追溯。
- **合同里写清楚**：供应商必须随货提供合格证/检测报告，出现农残超标承担退货、赔偿和监管处罚责任。
- **建立供应商档案**：每批资料归档，做到“一批一档”。

## 五、最实用的索要话术

你可以直接跟供应商说：

> 请随货提供：营业执照、食品经营许可证、本批次承诺达标合格证、对应本批次的农残检测报告、产地和批次追溯信息。报告要能看出样品名称、产地、检测日期、检测项目、判定依据和结论。若无法提供本批次报告，请提前说明，我们将安排入市前快检。

**核心原则：不要只看“有没有报告”，要看“报告能不能对上这批货”。** 能对上批次、能追溯到产地、能覆盖农残风险项，才是真正有用的资料。
