除了都乐（Dole）和鑫荣懋（Joyvio），目前市场上比较靠谱的进口苹果品牌还包括以下几个，供您对比参考：

1. **爱妃（Envy）**  
   - 来源：新西兰  
   - 特点：果肉细腻、甜度高，耐储存，口感脆甜。  
   - 适合人群：喜欢脆甜、果酸味低的消费者。

2. **爵士（Jazz）**  
   - 来源：新西兰  
   - 特点：果肉紧实，酸甜均衡，带淡淡果香。  
   - 适合人群：喜欢酸甜适中、口感清爽的消费者。

3. **红玫瑰（Red Delicious）**  
   - 来源：美国、智利  
   - 特点：果皮深红，果肉较软，甜度高。  
   - 适合人群：喜欢软甜口感、偏向传统红苹果的消费者。

4. **加力果（Gala）**  
   - 来源：新西兰、美国、智利  
   - 特点：果形较小，果皮红黄条纹，甜脆多汁。  
   - 适合人群：喜欢小果型、口味清新的消费者。

5. **王林（Wanglin）**  
   - 来源：日本、中国（进口日本品种）  
   - 特点：果皮黄绿，香气独特，甜度高。  
   - 适合人群：喜欢香气浓郁、黄色果皮的消费者。

6. **青森苹果（Aomori）**  
   - 来源：日本（青森县）  
   - 特点：果肉致密，糖度高，风味浓郁。  
   - 适合人群：追求极致甜度、高品质的消费者。

**购买建议：**  
- 可以结合渠道（大型商超、线上生鲜平台如盒马、山姆等）和价格区间进行比较。  
- 注意查看产地和进口标签（如是否来自新西兰、美国、智利、日本等）。  
- 部分品牌（如爱妃、爵士）有专门的果园或产区认证，品质更稳定。

以上品牌在进口超市或高端生鲜平台常见，您可以优先选择所在区域有稳定供货的渠道试试口感。
