建议采购方采用**小批量试卖+数据验证**策略，具体数量可根据以下因素综合决定：

1. **门店/渠道规模**：  
   - 社区店/小型超市：首批**10-30斤**（或**10-20个**独立包装）  
   - 商场/中型超市：**30-50斤**（或**20-40个**）  
   - 连锁/批发：选择1-2家核心门店试水，各**50斤**以内  

2. **水果特性**：  
   - 易损耗（如草莓、荔枝）：**20-30斤**，避免损耗过大  
   - 耐贮存（如苹果、橙子）：**40-50斤**，可多留观察窗口  

3. **供应商配合度**：  
   - 选择提供**免费样品**或**无条件退货**的供应商，测试数量可适当放宽至**50斤**以上  
   - 若要求预付全款，建议控制在**20-30斤**以内  

4. **试卖周期与反馈指标**：  
   - 设定7-10天试卖期，重点看：  
     - **日销量**：是否达到同类竞品60%  
     - **复购率**：回头客占比是否>20%  
     - **损耗率**：是否低于品类平均值（例：精品水果<5%，普通水果<8%）  
   - 试卖数据达标后，再按**2-3倍**增量启动第二轮采购。  

**快速决策公式**：  
试卖量 = 日均目标销量 × 3天 × 1.2（安全系数）  
（例：希望每天卖15斤，则先试 15×3×1.2=54斤）  

**风险控制铁律**：  
- 绝不首次采购超过**单品月预估销量的30%**  
- 试卖期间做好**顾客试吃反馈记录**（重点询问甜度、口感、外观）  
- 保留**3天缓冲库存**，以便及时补货或止损  

通过这种策略，既不会因库存不足错失机会，也不会因盲目大量进货运费过高或积压损失。
