连锁超市降低门店坏果率，合同约定的核心不是“多罚”，而是把**验收标准、责任归属、赔付计算、扣款执行**四件事写清楚。建议按以下条款设计：

**1. 先定“坏果”定义和验收标准**
- 明确坏果范围：腐烂、霉变、软烂、裂口、冻伤、压伤、异味、成熟度过高无法售卖等。
- 约定验收时点：到店验收、上架前复检、保质期内抽查，分别对应不同责任。
- 约定抽样规则：按批次、按筐/箱、按比例抽检，避免“全检还是抽检”扯皮。
- 约定允许损耗率：例如叶菜类≤3%、根茎类≤2%、浆果类≤5%，超出部分才赔。具体比例按品类定，不能一刀切。

**2. 赔付计算要可执行**
推荐两种写法，二选一或组合：
- **按不合格数量赔**：赔付金额=不合格数量×当批次采购单价×赔付倍数（如1.5—3倍）。
- **按损耗率差额赔**：赔付金额=（实际坏果率-约定损耗率）×当批次进货金额×赔付倍数。
- 若已影响销售，可加“销售损失赔偿”，但必须约定计算依据，如按同品类日均销售额×影响天数×毛利率，否则很难执行。

**3. 责任归属要分场景**
- 到店验收前发现：供应商责任，按上述标准赔。
- 验收后因门店储存、温控、陈列不当导致：门店责任，不能扣供应商。
- 验收后因商品自身保质期短、供应商未告知成熟度或保鲜要求导致：供应商责任。
- 约定“验收签字不免除隐蔽瑕疵责任”，但给合理期限，如到货后24—48小时内提出。

**4. 扣款和执行机制**
- 约定月度对账：坏果照片、验收单、抽检记录、扣款明细作为附件。
- 约定扣款方式：从当月货款中直接扣除，或供应商补货、换货。
- 约定异议期：供应商收到扣款通知后3—5个工作日内提出异议，逾期视为认可。
- 约定赔付上限：如单批次不超过该批次货款的30%—50%，避免供应商拒签或转嫁成本。

**5. 建议加的两条保护条款**
- **质量保证金**：供应商缴纳一定比例保证金，用于坏果赔付，合作结束后无息退还。
- **整改与退出**：连续X批次坏果率超标，超市有权暂停进货、要求整改或解除合同。

**一句话模板：**
“乙方交付商品坏果率超过约定损耗率的，超出部分按不合格数量×采购单价×2倍向甲方支付违约金，甲方有权从当月货款中直接扣除；因甲方储存不当导致的坏果，甲方自行承担。”

关键点：**损耗率要分品类定，赔付倍数要写死，扣款凭证要留全，责任归属要区分到货前和到货后。** 否则合同写了也难执行。
