在超市采购香蕉时，可以依次用以下几个方法挑选，避免买到“太生”或“太熟”的：

1. **看颜色——最基本参考**  
   - 全绿或绿中带极浅黄：偏生，按目前天气一般需放2~4天才能吃。  
   - 黄中带一点点绿（80%黄）：这是最理想、最耐放的区间，今天或明天就能吃，之后也不会瞬间烂掉。  
   - 全黄且开始出现黑点（芝麻点）：偏熟，今天必须吃掉，否则明天可能过软。

2. **摸硬度（最重要）**  
   - 想今天就吃：挑整体微软、轻按有弹性但不塌的。  
   - 想放2~3天：挑整体稍硬、捏起来有保留但已不是硬邦邦的。  
   - 捏一下两端和中部，如果整体发硬且没有回弹，就是“青香蕉”，千万别拿。  
   - 如果轻轻一按就凹陷、皮表面有液体渗出，就是过熟甚至发黑，别买。

3. **闻味道**  
   - 直接闻香蕉柄和果皮。有淡淡香蕉香气的是熟度刚好；没有香味的大概率偏生；有明显发酵酒味、酸味的是已经过熟。

4. **看果柄和棱角**  
   - 果柄粗壮、颜色偏黄绿（非干枯发黑）说明新鲜。  
   - 香蕉的棱角越分明，越生；棱角圆润、几乎看不到棱线，说明熟度较高。

5. **组合策略（推荐）**  
   - 如果不确定今天到底吃不吃，直接挑“80%黄+整体略微软但不塌”的，这是“当日可吃、明日不烂”的安全区间。  
   - 如果你要买一大把，建议混搭：挑2根较生、2根刚好、1根偏熟，这样每天都有得吃，不会一次性全熟或全生。

6. **避坑提示**  
   - 不要在冷藏柜里买香蕉（低温会中断后熟，拿出来容易橡皮化，且颜色好看但肉不甜）。  
   - 不要买果皮有深邃裂纹或大面积黑斑的，多半内部已经开始发酵。  
   - 如果看到全黄且柄部发黑，即便没软，回家也可能一天内变黑。

一句话总结：**“看颜色定区间，捏硬度定今天”，选“黄多绿少 + 微软有弹性”的那根最保险。**
