批发档口降低退货纠纷，核心不是“收货时挑毛病”，而是把**验收标准前置、过程留痕、责任当场划清**。收货验货建议按下面这套做。

## 一、收货前先定规则

1. **合同/订单写明验收标准**
   - 品类、规格、数量、颜色、等级、允许误差范围。
   - 明确“哪些算质量问题，哪些算正常批差”。
   - 写明验收期限：例如到货后24小时内反馈，超时视为验收合格。

2. **样品封样**
   - 大批量进货前留样品，双方确认后封存。
   - 后续争议以封样为准，避免“你觉得不对，我觉得没问题”。

3. **约定退货边界**
   - 质量问题：包退包换。
   - 色差、尺寸误差、轻微瑕疵：约定比例内不赔。
   - 人为损坏、拆标、洗过、二次销售后：不退。

## 二、到货时当场验

1. **先点数量，再验质量**
   - 点数：整件数、每件数量、尾数。
   - 核对送货单、物流单、订单号是否一致。
   - 数量不符当场拍照、拍视频，让送货方签字确认。

2. **按比例抽检**
   - 大批量不可能全检，按比例抽：
     - 一般货：抽10%—20%。
     - 高价值/易碎/易争议货：抽30%以上或全检。
   - 抽检发现问题，扩大抽检比例，甚至全检。

3. **重点检查项**
   - 外观：破损、污渍、色差、划痕、变形。
   - 规格：尺寸、重量、型号、颜色、材质。
   - 功能：能试的通电、试装、试拉、试按。
   - 包装：外箱是否破损、受潮、挤压、二次封箱。
   - 标签：吊牌、条码、合格证、生产日期是否齐全。

4. **发现问题立即固定证据**
   - 拍全景：货堆、外箱、物流单。
   - 拍细节：瑕疵部位、标签、批次号。
   - 拍视频：从外箱到问题件的连续过程。
   - 记录：时间、车牌/物流单号、送货人、在场人。

## 三、当场划分责任

1. **物流破损**
   - 外箱明显破损、受潮、挤压，先别急着签“完好”。
   - 当场开箱验，拍照，让物流/司机签字确认。
   - 能拒收就拒收；不能拒收，备注“破损待查”。

2. **供应商少发、错发、混发**
   - 当场记录差异，发消息给供应商确认。
   - 不要口头说说，要文字留痕：微信、邮件、盖章回单都行。

3. **质量不合格**
   - 当场分类：可退、可换、可折价、可自处理。
   - 让供应商给明确处理方案和时限。
   - 不要先收下再说，收下后容易变成“你自己没验好”。

## 四、验收后留档

1. **建收货台账**
   - 日期、供应商、订单号、物流单号、到货数量、验收数量、问题数量、处理结果、经办人。

2. **保存证据**
   - 照片、视频、聊天记录、送货单、验收单。
   - 至少保存到该批货售完或约定售后期结束。

3. **验收单签字**
   - 内容：订单号、到货数、合格数、问题数、处理方式、时限。
   - 送货方、仓库、采购三方能签就签。

## 五、给档口的实操话术

收货时可以直接说：

> “这批货我们先按单点数和抽检。外箱有破损的当场开箱，数量不对的当场记录，质量问题24小时内反馈。超出时间或已经上架销售的，按约定不再受理。麻烦送货单上签一下到货时间和数量。”

## 六、最关键的3条

1. **标准提前写清楚**，不要等退货时再吵。
2. **到货当场验、当场拍、当场签**，不要拖到第二天。
3. **问题货和好货分开放**，避免混卖后责任说不清。

如果档口退货纠纷主要集中在某几类问题，比如色差、破损、少发、尺码，可以针对那一类再做一张“专项验收清单”，执行起来更省事。
