旺季菠萝用量突然变大，临时补货的关键是：**不要等到断货才找供应商，而是提前把“临时补货规则”写进合作里，并保留备选渠道。**

下面按可执行步骤说：

1. **先判断缺口和补货节奏**
   - 算出未来7天、14天预计用量，和现有库存、在途量对比。
   - 明确你要的是鲜果、冷冻果肉、果酱还是罐头，不同品类供应周期不同。
   - 鲜菠萝通常补货周期短但损耗高；冷冻/罐头更稳，但临时加量可能要排产。

2. **和现有供应商约定临时补货条款**
   可以单独签一份《旺季临时补货补充协议》，重点写清：
   - **触发条件**：如周用量超过日常订单量20%、30%时启动。
   - **提前通知时间**：例如提前3天、5天报计划，急单提前24小时。
   - **补货上限**：供应商每日/每周最多能额外供多少，避免承诺了供不上。
   - **价格机制**：临时补货是否按原价、阶梯价还是市场价，涨幅上限是多少。
   - **规格和品质**：糖度、成熟度、单果重量、是否去皮、冷冻温度等。
   - **到货时间**：下单后多少小时/几天到店，谁承担运费。
   - **违约和替代方案**：供不上时是否可换规格、换产地，或赔偿停业损失。
   - **结算方式**：现结、周结还是月结，临时单是否要预付。

3. **给供应商一个“可预期”的临时加量**
   供应商最怕今天要100斤、明天要1000斤。你可以：
   - 每天固定时间报次日/后日需求。
   - 给一个滚动3天预测，哪怕不精确。
   - 承诺一个最低包量，比如旺季每周至少拿多少，换取优先供货权。
   - 急单加价可以接受，但要约定上限，避免被临时抬价。

4. **同时准备备选供应**
   - 至少找1家本地批发市场档口、1家冷冻果肉供应商、1家线上B2B平台作为备份。
   - 提前拿样品试做，确认风味一致。
   - 把备选联系方式、起订量、到货时间列成一张表，断货时直接调用。

5. **合同里建议加的条款示例**
   - “旺季期间，甲方每周可临时追加不超过日常订单量50%的货量，乙方应优先安排。”
   - “临时补货价格按原合同价上浮不超过10%。”
   - “乙方未按约定到货，导致甲方缺货，乙方按缺货金额的20%赔偿。”
   - “如乙方无法供货，应提前48小时通知，并协助甲方从备选渠道调货。”

6. **实际操作提醒**
   - 不要只口头约定，微信确认也要截图保存。
   - 临时补货单单独走，不要和常规订单混在一起，方便对账。
   - 到货当场验货，菠萝重点看黑心、烂心、成熟度。
   - 如果用量只是短期爆发，优先用冷冻果肉或罐头过渡，比鲜果更稳。

简单说：**提前谈好触发条件、价格上限、通知时间、最大供应量和违约替代方案，同时留一个备选供应商。** 这样旺季临时补货才不会被供应商卡住。
