对于水果采购方来说，试卖新品最稳妥的原则是：**先小批量、多频次、短周期，把风险控制在“一次报损可接受”的范围内。**

具体建议如下：

**1. 数量标准（按周计算）**
- **保守做法**：以单店/单个档口**1~3天销量**的预估量作为首批试卖量。
- **公式参考**：试卖量 = 预估日均销量 × 1.5倍（留出损耗缓冲）。
- **举例**：如果预估每天能卖30斤，那么首批进货建议在45斤左右，最多不超过60斤。**不要为了拿批发价一次囤一整个货架的量。**

**2. 品类差异调整**
- **高损耗水果（如草莓、山竹、杨梅）**：首批试卖量建议控制在**日常同类水果销量的30%~50%**，甚至按**半箱/小件**采买，宁缺毋滥。
- **耐储存水果（如苹果、橙子、柚子）**：可以适当提到**日常销量的60%~70%**，因为即使卖不动，可以留作次果特价清理，但也要避免压资金。

**3. 试卖期时长**
- **严格设定2~3天为观察期**。如果3天内动销率低于30%（即每进10份只卖掉3份），应立即停止补货并启动降价或搭售方案。
- **不盲目延长观察期**：水果是生鲜品，时间越久损耗越高，试卖的核心是“快速验证复购率”，而非“等顾客慢慢接受”。

**4. 实操加分项**
- 试卖期间**主动请顾客试吃**，并记录“询问价格后离开”和“试吃后购买”的比例，这比单纯看销量更能反馈新品潜力。
- 向供应商**明确约定“分批配送”或“卖不完可调换等价品”**，如果供应商愿意承担部分风险，说明其对自己的货有信心，你可以适当加量。
- 若首批反应平平，**不要立即否定**，可以二次少量试卖（换陈列位置或做促销），但总试卖次数建议不超过2轮。

**核心总结**：宁可少赚，不可积压。**首批试卖不超过3天预估销量，并预留报废预算**，这是最稳的投入方式。如果供应商试图以“量大有折扣”诱导你大量首采，建议坚决拒绝。
