对于餐饮店每天少量水果的采购需求，核心痛点是**稳定、省心、新鲜**（不需要承担囤货压力），而不是追求最低价。以下是针对小批量采购的供应商筛选建议：

**1. 首选：社区生鲜平台 / 美团优选 / 多多买菜（次日达）**

- **优势**：无需起订量，按需下单，坏果包赔，价格透明。适合每日补货。
- **操作**：每天固定时间下单，第二天开门前送达。
- **省心点**：不需要谈合作，不用囤货，损耗率极低（平台上通常直接扣点）。
- **注意**：需要你每天花5-10分钟下单，并核对品质。

**2. 次选：本地水果批发市场的“代购”/“拼单”档口**

- **优势**：价格比超市便宜，且能拿到本地时令水果。
- **操作**：到批发市场找专门做“配送”的小档口，说明你是小饭店，每天要两三样水果，量不大。
- **省心点**：和档口老板谈好**免运费**（只要达到20-30元起送），他们会帮你挑好货，顺路送过来。这种档口通常靠熟客走量，稳定后非常省心。
- **注意**：第一天去市场时多问几家，找那种愿意接小单、服务态度好的。

**3. 进阶：本地“水果连锁店”的企业大客户部**

- **优势**：品质稳定，有发票，能开增值税专票（如果对公需要）。
- **操作**：找本地的大型连锁水果店（比如百果园级别的，但不用他们的总统价），直接去门店要店长电话，说明是做餐饮的，每天要一点，问他们有没有“企业小客户打包价”。
- **省心点**：他们会按周结账或月结，每天帮你配好，坏果当场换。
- **注意**：价格会比批发贵15%左右，但省了采购精力和损耗。

**4. 最不推荐：菜市场固定摊贩**

- **原因**：价格不透明，且他们主要做零售，包装、配送都不专业。你每天去现挑很费时间。

---

**关键省心操作建议（无论选哪种）：**

1. **固定给一个“免赔损耗”**：直接跟供应商说：“我每天都要，如果当天的那一两个果子不新鲜，我直接扔了，不找你换，但你明天补点好的或者价格便宜点。” 这样双方都不纠结，供应商更愿意给你留好货。
2. **签个简单的“口头协议”或“微信订单截图”**：每天发个固定清单（比如2个苹果、1串葡萄、1盒蓝莓），让供应商自动配，你只负责收货，不负责挑。
3. **每周日做一次“突然抽查”**：防止供应商大意，固定每周日收货时当场切开一个看看果肉，有问题立刻在微信上告知。

**最终建议：** 如果你的单量非常小（比如每天20-30元），直接用**美团优选/多多买菜**最省心，损耗全平台承担；如果每天在50元以上，建议直接去本地批发市场找一个愿意送小货的档口，谈“每日固定送”合作，这样长期成本最低。
