都乐（Dole）和洪九果品都是国内茶饮、水果渠道常见的菠萝供应来源，但“基地在哪里”要分开看，因为两者模式不同。

**都乐 Dole**
- 都乐是全球果蔬品牌，在中国市场常见的是菲律宾、泰国等进口菠萝，以及部分国内合作基地菠萝。
- 都乐在中国有合作种植和加工基地，但具体菠萝供应地会随季节、品种和订单调整，不是单一固定基地。
- 茶饮渠道常用的是都乐菠萝丁、菠萝块、菠萝果酱等加工品，原料可能来自菲律宾、泰国或国内合作产区。
- 如果要确认某一批次的真实产地，最直接的方式是向都乐中国销售或经销商索取当批《产地证明》《植物检疫证书》和加工厂信息。

**洪九果品**
- 洪九果品是水果供应链企业，不是单一自有种植基地模式，更多是“产地采购+加工分选+冷链配送”。
- 洪九在泰国、越南、菲律宾等东南亚水果产地有采购和加工布局，国内也有分选加工中心。
- 菠萝方面，洪九常供应的包括泰国小菠萝、菲律宾菠萝、国内广东/海南/云南等产区的菠萝，具体看季节和客户需求。
- 洪九的“基地”更准确说是合作产地、采购网络和加工分选中心，而不是某个唯一农场。

**给茶饮采购的可执行建议**
1. 不要只问“基地在哪里”，要问：  
   - 当季主供产区  
   - 品种（如泰国小菠萝、菲律宾MD2、广东徐闻菠萝等）  
   - 规格（整果/去皮整果/丁/块/果酱）  
   - 加工厂地址  
   - 是否有稳定周供应量和锁价周期  
2. 要求供应商提供：  
   - 产地证明  
   - 植检证  
   - 农残检测报告  
   - 加工厂资质  
   - 批次追溯码  
3. 茶饮稳定供应更建议做“双源采购”：  
   - 主供：都乐或洪九，负责品质稳定和品牌背书  
   - 备供：国内徐闻、海南、云南产区加工厂，负责成本和旺季补充  
4. 如果用的是菠萝丁/块，重点不是鲜果基地，而是加工厂是否稳定、冷冻/冷藏链条是否可靠、糖度酸度是否批次一致。

**结论**
都乐和洪九果品都没有一个可以简单回答的“唯一菠萝基地”。都乐偏向全球供应链+国内合作基地，洪九偏向东南亚采购+国内分选加工网络。要确认具体基地，必须按批次向供应商要产地证明和加工厂信息。茶饮采购若要稳定，建议直接锁定“品种+规格+加工厂+周供应量+检测标准”，而不是只锁定品牌。
