关于洪九果品和都乐香蕉在批发市场拿货的到货损耗率，**目前没有公开的、统一的行业标准数据**，因为损耗率受运输距离、季节、包装方式、批发市场具体环节（如冷库周转天数）影响极大，不同批次差异也很大。

不过，结合行业经验，可以给你一个参考判断思路，而非确切数字：

1. **都乐香蕉（Dole）**  
   - 品牌定位：**熟度标准化程度高**，通常按箱销售，箱内成熟度控制较为均匀，且多采用冷链运输。
   - 到货损耗表现：由于成熟度控制较好，**到货后“硬伤”（如挤压、断裂）相对少**，但若运输中发生剧烈颠簸，带柄处容易断裂。**常规到货损耗率约在2%-5%**（指可商品化率下降、必须减价或废弃的比例），旺季高温或长途运输时可能上升至8%左右。

2. **洪九果品（批发流通品牌）**  
   - 定位：洪九是批发市场主流供应商之一，其香蕉通常**走大宗批发，价格更低、周转更快**，但成熟度一致性往往不如进口品牌。
   - 到货损耗表现：若你拿的是**国产蕉（如云南、老挝蕉）**，到货时青蕉比例可能更高，**到货损耗率（指烂果、水烂）通常在5%-8%**；若旺季或催熟环节不当，可能超过10%。不过洪九若供应的是**进口香蕉品牌**（它也有代理），损耗率会接近都乐。

**实操建议（比纠结数据更重要）：**
- **到货时立即开箱检查**：随机抽3-5箱，看底层、箱角是否有水烂、发黑、断裂。
- **看催熟与储藏条件**：如果批发市场没有冷库，夏季损耗会显著增加，这一点比品牌差异影响更大。
- **谈判条款**：和批发商约定“到货后24小时内可报损”，并提前确认“短斤少两”和“烂果”的赔付比例，通常成熟批发商会接受报5%左右损耗。
- **测试单**：先拿小批量（如1-2件）测试同批次到货质量，再决定是否长期合作。

如果你有具体拿货城市（如广州江南市场、嘉兴市场等）或者具体品种（如皇帝蕉、普通青蕉），可以补充，我可以帮你更精确分析当地行情差异。
