水果店遇到坏果，和供应商结算或赔付，核心看**合作模式、坏果比例、发现时间和证据**。一般可以按下面处理：

1. **先固定证据**
   - 到货后尽快开箱抽检/全检，拍照、拍视频。
   - 保留送货单、过磅单、订单、聊天记录。
   - 记录坏果品种、数量、重量、比例、批次、到货时间。
   - 最好让司机或供应商在场确认签字；不能到场就发照片/视频让对方确认。

2. **看合同或口头约定**
   - 有采购合同/供货协议的，按合同里的验收标准、损耗率、赔付条款执行。
   - 没有书面合同的，按行业惯例和双方长期合作习惯协商。
   - 常见约定是：**到货验收时发现坏果，按实际坏果数量扣款；超过一定比例可整批退货或拒收。**

3. **常见结算/赔付方式**
   - **扣款结算**：本批货款中直接扣除坏果对应金额。
   - **补货**：供应商下次补同等数量/重量的好果。
   - **换货**：整批或部分退回，换合格果。
   - **退货退款**：坏果比例高、无法销售时，整批退回并退款。
   - **折价处理**：轻微坏果可降价销售，双方按折扣结算。
   - **运费/损耗分担**：因运输导致的坏果，可协商由供应商、物流或双方按责任分担。

4. **按责任划分**
   - **到货前就坏**：供应商责任，通常由供应商赔或补。
   - **运输途中坏**：看谁负责运输；供应商包运的，一般供应商先赔，再向物流追偿。
   - **到货后因门店储存不当坏**：通常门店自己承担。
   - **自然损耗**：有些合同会约定1%—5%不等的合理损耗，超出部分才赔。

5. **实操建议**
   - 到货时尽量当场抽检，不要等卖几天后再提。
   - 发现坏果后**当天或24小时内**书面通知供应商，别拖。
   - 协商时直接给方案：比如“本批坏果30斤，按进价3元/斤，扣款90元，或下次补30斤”。
   - 长期合作可约定：坏果率超过5%扣款，超过10%退货，超过20%整批拒收。
   - 所有扣款、补货、退货都留文字记录，避免下次扯皮。

6. **如果供应商不认**
   - 先看合同和送货单约定。
   - 再拿照片、视频、聊天记录、司机签字等证据协商。
   - 协商不成，可向市场监管部门投诉，或按合同走仲裁/诉讼。
   - 金额不大的，通常优先协商，因为诉讼成本可能高于坏果损失。

一句话：**到货尽快验，坏果留证据，按合同或惯例扣款/补货/退货；责任在谁，谁承担。**
