在超市与水果供应商的账期谈判中，常见的账期时间通常在 **30天至60天** 之间，具体取决于多个因素。

**以下是行业常见情况：**

1. **标准账期（30-45天）**：
   - 这是最常见区间，适用于中小型超市或与稳定供应商的合作。
   - 例如：月结30天（收到货次月付款）或月结45天。

2. **较长账期（60-90天）**：
   - 多见于大型连锁超市（如沃尔玛、家乐福等）或全国性零售平台，凭借规模优势争取更长的资金占用期。
   - 部分企业账期可达90天，但需要供应商接受或需提供更优惠的价格条件。

3. **较短账期（15-20天）**：
   - 针对高周转、易损耗的新鲜水果（如叶菜、草莓、荔枝等），供应商可能要求短期内结款，以降低自身风险。

**影响账期的主要因素：**
- **采购规模**：单次采购量大、长期合作，超市议价能力更强，账期可拉长。
- **结算方式**：现金转账通常比承兑汇票账期更短。
- **季节性与损耗**：夏季水果易腐烂，供应商可能要求现款现货或缩短账期。
- **供应商规模**：产地直供或大型批发商通常能接受较长账期；小农或个体户可能需要更短账期。

**实际谈判建议：**
- 如果你是超市方，可先提出45天账期作为目标，再视供应商反馈调整。
- 如果你是供应商，建议先了解对方信用和付款记录，最低接受30天账期，并尽量争取预付定金或首单现结。

最终账期以双方签署的采购合同为准，务必明确付款节点和逾期责任。
