选择学校食堂水果供应商时，建议按以下步骤操作：

1. **明确需求与标准**  
   - **质量要求**：优先选择新鲜、无机械损伤、无腐烂变质的水果，可参考《GB/T 10651-2008 鲜苹果》等行业标准。  
   - **数量与频率**：根据日常消耗量，确定每周/每日配送量，并要求供应商提供稳定的补货计划。

2. **筛选供应商渠道**  
   - **本地农产品批发市场**：直接对接产地一级批发商，价格较低且货源新鲜。  
   - **大型连锁超市或电商平台**（如美菜、京东企业购）：适合小批量补货，但需注意品控与配送时效。  
   - **本地合作社或果农直供**：可签订长期合同，但需核查其产能、冷链运输和食品安全证明。

3. **资质与合规审核**  
   - **必备证件**：食品经营许可证、营业执照、农产品检验报告（尤其是农药残留、重金属检测）。  
   - **质量承诺**：要求供应商提供书面质量保证书，明确退换货条款（如24小时内腐烂包换）。

4. **实地考察与试单**  
   - **查看仓储与物流**：检查冷库温度、水果分拣流程、车辆卫生条件。  
   - **小批量测试**：先下单1-2天用量，评估水果成色、口感及配送准时率。

5. **成本控制与合同签订**  
   - **比价**：向≥3家供应商询价，计算单价+运费+损耗率的总成本。  
   - **合同注意点**：明确结算周期（如月结）、违约金（如连续两次不合格可终止合作）、争议解决方式。

6. **持续监督与反馈**  
   - **验收入库**：每次到货随机开箱检查10%，记录果径、成熟度、坏果率。  
   - **建立黑名单**：对供货质量不稳定的供应商，及时替换并公示原因。

最后提醒：优先选择有学校食堂供应经验的商家，确保其熟悉并遵守校园食品安全相关法规（如《学校食品安全与营养健康管理规定》）。
