水果店做周末促销时，**供应商通常可以提供一定的价格或物料支持**，但具体取决于你的采购量、合作关系以及供应商的政策。以下是常见的支持类型和建议：

1. **价格支持**：  
   - 供应商可能通过**降价或返点**（如进货满一定金额后返还部分货款）支持促销。  
   - 你需提前沟通：明确促销商品、预计销量，争取临时特价或分级折扣（例如：前100件进货价优惠5%）。

2. **物料支持**：  
   - 供应商可能提供**宣传物料**（如海报、展架、特价标签）、**试吃品**、**赠品**（如购物袋、小包装样品）。  
   - 部分供应商会承担部分费用，如协助制作线上推广图片或提供相关食材（如搭配水果的酸奶、蜂蜜等）。

3. **操作建议**：  
   - **提前2-3周沟通**：周末促销需足够备货时间，供应商也需调整自身库存。  
   - **量化需求**：明确促销时段、预计销量、所需物料清单，越具体越容易获得支持。  
   - **合作诚意**：若你是长期客户或承诺未来增加采购量，供应商更愿意配合。  
   - **备选方案**：如供应商拒绝，可尝试联合其他品牌或主动采购二级品（品相稍差但价格更低的商品）作为促销主打。

4. **注意事项**：  
   - 供应商支持通常是“限时或限条件”的，需确认促销活动后市场价格是否恢复。  
   - 避免过度依赖供应商支持，提前准备自身促销预算（如自备部分低值赠品）。

总结：**大概率可行，但需主动争取和规划**。建议从熟悉的供应商或大宗采购品类开始尝试，首次沟通可先询价和物料清单，再逐步谈判。
