三个都重要，但优先级要看食堂的实际情况。给你一个可操作的判断框架：

**最优先：食品安全**
- 水果是生鲜，容易有农残、霉变、腐烂交叉污染问题，一旦出问题就是群体性事件。
- 这是底线，不能靠“便宜”或“快”来换。采购时必须能提供农残检测报告、检疫/合格证明，收货时要验收外观、气味、成熟度。

**次优先：配送准时**
- 食堂有固定开餐时间，水果通常要当天或提前一天到货。配送不准时，会直接影响供餐或导致临时缺货。
- 但“准时”要结合储存能力看：如果食堂冷库/保鲜条件一般，送太早反而容易坏。

**第三：价格**
- 价格重要，但排在安全和稳定供应之后。水果价格波动大，建议用“周期定价+市场比价”控制，而不是单纯追最低价。
- 过分压价容易导致供应商降品质，最后食品安全风险反而上升。

**实际决策建议：**
1. **先设准入线**：供应商必须有资质、检测报告、可追溯来源。
2. **再定履约线**：明确配送时间窗口、缺货/迟到的处罚和补货机制。
3. **最后谈价格**：按月或按周比价，设合理浮动区间，不唯低价。

如果非要排一个顺序：**食品安全 > 配送准时 > 价格**。但如果食堂规模小、储存差、供应商不稳定，配送准时可能要和食品安全并列第一。
