要判断都乐（Dole）和洪九果品能否全年供应菠萝给茶饮店做果酱，核心看两点：**是否有稳定的全年货源，以及是否愿意/能够以合适规格供货给B端加工用途**。分开说。

## 都乐（Dole）

- 都乐是全球性果蔬品牌，菠萝是其核心品类之一，在菲律宾、哥斯达黎加等地有自有或合作种植基地，跨南北半球布局，**理论上具备全年供应能力**。
- 但都乐的强项是**鲜果零售**（商超、电商的鲜食菠萝），B端大宗原料、尤其是给茶饮/果酱厂供货，通常不是它的主渠道。是否接这种订单，取决于单量、规格、是否走经销体系。
- 如果走都乐，更现实的是通过其B端/供应链部门或经销商谈，且**价格通常偏高**，做果酱这种对卖相要求不高、但对成本敏感的用途，性价比未必合适。

## 洪九果品

- 洪九是国内头部水果供应链企业，主打东南亚进口水果（榴莲、山竹、龙眼、火龙果等）和部分国产水果，菠萝也是其经营品类之一。
- 它的定位是**B端供应链**，给商超、批发、电商、部分餐饮供货，做茶饮原料供应在逻辑上是匹配的。
- 但洪九的模式偏**贸易+分销**，菠萝货源多来自采购而非自有种植。全年稳定供应要看过往它是否能持续组织到货（国产菠萝有季节，进口菠萝补位）。**能否签全年稳定协议、锁定价格和规格，需要具体谈，不能默认它一定做到。**

## 关键结论

1. **"知名品牌"不等于"能给你稳定供全年菠萝"**。这两家的能力都强，但都更偏鲜果流通，给茶饮店做果酱属于加工原料场景，规格、价格、供货节奏的要求不同。
2. **全年供应的真正难点**是季节错配：国产菠萝（广东徐闻、海南等）集中在冬春，进口菠萝（菲律宾、泰国等）可补淡季。任何一家要保证全年，都得靠"国产+进口"组合。都乐靠全球基地相对更稳，洪九靠采购组织能力。
3. **做果酱的建议**：
   - 优先找**专门的水果加工原料供应商或果酱代工厂**，而不是直接找鲜果品牌。加工用菠萝多用冷冻果块/果浆/浓缩汁，比鲜果更稳定、更便宜。
   - 如果坚持用鲜果自熬，可以**都乐/洪九谈框架协议**，但务必确认：全年月供量、规格（成熟度、糖度）、价格是否锁定、断供时的替代方案。
   - 更稳妥的做法是**双供应商+季节切换**：旺季用国产（成本低），淡季用进口（都乐或洪九），并保留冷冻原料作为缓冲。

一句话：两家都**有能力**，但都不是天然为"茶饮果酱全年供应"设计的渠道。要落地，得具体谈供货协议，并最好搭配加工原料供应商做备份。
