优先选**小把（3～5根）**，其次看门店位置再决定要不要加**单根**或**整袋**。便利店卖香蕉的核心不是“最便宜”，而是**降低顾客购买门槛、减少损耗、提高周转**。

### 直接建议
1. **主推：小把装，3～5根一把**
   - 最适合便利店。
   - 顾客买来当早餐、下午加餐、办公室分享都合适。
   - 一次买完的概率高，不容易剩。
   - 陈列看起来也比单根更有“商品感”。

2. **补充：单根**
   - 适合写字楼、地铁口、学校、医院附近。
   - 对“只想吃一根”的顾客很友好。
   - 但单根容易碰伤、发黑，损耗和人工分拣成本更高。
   - 如果门店客流快、香蕉周转快，可以设一个小区域卖单根。

3. **谨慎：整袋/整串大包装**
   - 除非在社区店、家庭客群多，或者价格明显有优势。
   - 便利店场景下，整袋决策成本高，顾客怕买多了吃不完。
   - 大串也更容易因为成熟过快造成集中损耗。

### 更细的判断标准
- **写字楼/商圈/交通枢纽店**：小把为主，单根为辅。
- **社区/家庭客群店**：小把为主，可少量整袋。
- **学校/医院/夜市周边**：单根和小把都好卖。
- **客流慢的店**：只上小把，甚至更小规格，避免整袋。

### 包装和运营要点
- 小把用**皮筋或扎带**轻捆，不要勒伤果柄。
- 最好按**成熟度分开放**：青一点的放后面，黄熟的放前面先卖。
- 可以贴简单标签：**“即食香蕉 3根”**，比散放更好卖。
- 如果做单根，尽量用**小托盘或纸袋**，减少压伤。
- 进货不要一次太多，香蕉后熟快，便利店适合**少量多次补货**。

### 结论
**首选小把3～5根；单根作为补充；整袋只在家庭客群明显时少量尝试。**
如果只能选一种，选**小把**。
