我无法确认佳农目前是否提供菠萝丁代加工或定制切丁服务，也不掌握其最新产品目录和合作政策。这个信息需要直接向佳农官方核实，避免我凭印象给错答案。

建议你按下面方式快速确认：

1. **找佳农官方渠道**
   - 佳农官网/官方公众号/官方客服电话
   - 如果你所在城市有佳农分公司或经销商，直接联系当地负责人
   - 电商平台上的“佳农官方旗舰店”客服只能确认零售品，B端加工要转销售

2. **直接问这4个问题**
   - 是否供应**冷冻菠萝丁/糖水菠萝丁/无菌袋装菠萝丁**，还是只卖整果？
   - 是否支持**按规格切丁**（比如10×10mm、15×15mm）？
   - 是否支持**代加工/OEM**，起订量多少？
   - 是**原料果供应**还是**成品果丁供应**，是否需要你们自己再处理？

3. **茶饮店更实际的方向**
   - 如果佳农只卖整果，你可找：**冷冻水果丁供应商、果蔬加工厂、餐饮供应链平台**。
   - 茶饮常用的是**速冻菠萝丁**或**糖渍菠萝丁**，比整果更省人工、出品稳定。
   - 若用量不大，先找当地**冷冻食品批发商/饮品原料商**拿样品，通常比直接找佳农更灵活。

4. **判断要不要用佳农**
   - 你们月用量大、能接受较高起订量：值得直接谈佳农B端。
   - 你们用量中等、想要小批量多规格：更适合找专业果蔬加工厂或餐饮供应链。
   - 你们只想省事：优先选现成冷冻菠萝丁，不要买整果自己切。

如果你告诉我：**城市、月用量、想要冷冻还是糖水、丁的尺寸**，我可以帮你把询价话术和备选供应商类型列出来。
