在超市水果区做组合促销，单纯“打折”容易拉低毛利，更建议用**“场景组合”**提升客单价。针对香蕉、菠萝、苹果，我为你设计三套不同偏重的方案，你可以根据超市的定位和库存来选：

### 方案一：健康轻食组合（适合白领、家庭客群，主打便利）
-   **组合形式**：**“香蕉+苹果”做成“每日水果包”**，菠萝作为“加购换购品”。
-   **具体操作**：
    -   将2根香蕉 + 1个苹果（或2个），用透明保鲜盒或定制的纸盒装好，贴上“每日维C能量包”标签，定价**9.9元**（根据实际成本微调）。单独买通常需要11-12元，组合价有吸引力。
    -   **额外加购**：购买该组合的顾客，可以**+3.9元**换购一份切好的菠萝（约1/4个）。菠萝的切割损耗在这里变成了增值品。
-   **提客单价逻辑**：原本顾客只买2元/斤的苹果，现在引导买9.9元组合包，客单价直接拉高；菠萝换购处理了损耗，且增加了连带消费。

### 方案二：季节消暑组合（适合夏季或南方地区，主打冰爽）
-   **组合形式**：**“菠萝+苹果”做“解腻果汁材料包”**，香蕉作为“补充赠品”。
-   **具体操作**：
    -   将1个菠萝 + 2个苹果放进网袋，搭配一个“鲜榨建议卡”（教顾客菠萝苹果汁比例），定价**15.8元/组**。
    -   **关键动作**：在冷柜旁摆放**剥好的香蕉**（整根真空包装），并贴纸“买果汁材料包，+1元换购香蕉1根”。
-   **提客单价逻辑**：菠萝+苹果客单价高；香蕉作为低成本赠品（1元换购），实际毛利还在，但让顾客觉得占了便宜，愿意多花1块钱，同时清掉易损耗的熟香蕉。

### 方案三：家庭烘焙/早餐组合（适合社区超市，主打刚需）
-   **组合形式**：**“苹果+香蕉”做“早餐三件套”**，菠萝作为“高毛利拉新单品”。
-   **具体操作**：
    -   将苹果、香蕉和**预包装的小面包或酸奶**放在同一促销堆头。水果部分定价为：**“苹果2斤+香蕉2斤”套餐价**（比单买便宜2-3元）。
    -   **菠萝单独引流**：将菠萝切块，用竹签串成“菠萝串”，定价**5元/串**，放在收银台或套餐旁边。
    -   **关键动作**：让顾客买套餐后，顺手拿一串菠萝串，或者反过来——买菠萝串的顾客，套餐立减2元。
-   **提客单价逻辑**：苹果香蕉是必需品，组合在一起打折，拉高基础消费；菠萝的“即食串”是高毛利溢价单品，且加工后损耗低。

---

### 执行落地的3个关键点（避免翻车）：

1.  **必须算好“视觉重量”**：组合包里的苹果、香蕉要挑**大小均匀**的，不要混入小果（顾客会挑出来）。菠萝如果去皮切盒，要确保糖度达标，否则会砸了组合招牌。
2.  **“捆绑”不如“自由搭配”**：在所有水果区挂提示牌：“任意搭配**2种及以上**水果满20元减3元，满35元减6元”。这种方法比固定组合更灵活，不会让只想买香蕉的顾客反感，且能有效拉升客单。
3.  **注意菠萝的损耗红线**：菠萝是易腐且难处理的水果。如果是整果售卖，损耗率控制在5%以内；如果是切盒售卖，**当天上午切、下午必须打折清完**，绝不能留到第二天。

**我的推荐开场动作：**
如果今天只能做一个动作，我建议先做**“9.9元香蕉苹果能量包 + 3.9元换购菠萝”**。因为香蕉走量快，苹果毛利稳定，菠萝换购能消化库存，且这个组合最容易被顾客顺手拿走，提升客单价的效果最直接。
