我无法确认佳农水果当前客户服务和订单处理的具体时间安排，这类信息会随渠道和时期调整，建议以官方渠道实时说明为准。

**能否判断的建议：**

1. **看下单渠道**
   - 如果是京东、天猫、拼多多等平台上的佳农旗舰店，周末下单通常系统会接收，但是否当天处理、发货，取决于店铺公告和平台规则。
   - 如果是佳农官方小程序/官网，需看页面是否写明“客服时间”“发货时间”。

2. **查官方页面最可靠**
   - 在店铺首页或商品详情页找“发货说明”“客服服务时间”。
   - 直接问在线客服一句：“周末下单什么时候处理？客服是否7×24？”
   - 保留聊天记录，若承诺时效未做到，可作为售后依据。

3. **一般经验判断**
   - 电商客服常见不是7×24，多为9:00–18:00或9:00–21:00。
   - 周末下单一般“有人接单”，但人工客服和仓库发货可能顺延到工作日。
   - 生鲜类有时周末也发货，但受仓库、物流、地区影响很大。

**结论：** 不能直接认定佳农水果是7×24客服；周末下单大概率系统能下，但人工处理和发货是否当天进行，要看你具体在哪个平台下单，并以该店铺页面或客服回复为准。
