可以尝试与供应商谈锁价，但需注意以下关键点：

1. **可行性判断**  
   - 长期合作且信誉良好的供应商更可能接受锁价。  
   - 水果成本受季节、天气、运输等影响波动大，供应商可能要求锁定期限较短（如1个月），或附加“浮动范围条款”（例如上下浮动不超过5%）。  

2. **谈判策略**  
   - **提量换价**：承诺增加采购量或长期合作，换取固定价格。  
   - **签订框架协议**：约定基准价，并设定调整机制（如根据市场批发价指数每季度调整一次）。  
   - **分批锁价**：对部分核心品种（如苹果、维生素含量高的水果）锁价，其他品种按市价采购。  

3. **风险防范**  
   - 避免口头约定，需书面合同明确：锁价期限、交付标准、违约条款（如市场价下跌时供应商是否必须按锁价执行）。  
   - 若供应商坚持不锁价，可建议：  
     - 每日通报批发价，并约定“当日最低价采购”  
     - 联盟其他餐饮店联合采购，增强议价能力。  

4. **替代方案**  
   - 自建小型冷库或采用“季节性储备模式”：在水果价格低谷期提前采购并冷冻/加工（如切块冷冻）。  
   - 替换部分易涨价水果为当季本地品种，或开发果酱/果干等耐储存产品。  

**建议实操步骤**：  
① 整理近半年采购数据（品种、价格、用量），  
② 锁定3-5家供应商分阶段谈判，优先谈通用品种（如柠檬、香蕉），  
③ 先试签一个月短期协议，观察效果再扩展。
