目前我无法核验佳农水果是否针对餐饮渠道提供专门的菠萝解决方案，所以不能给出确定的“有/没有”结论。建议你通过以下方式快速确认：

1. **直接联系佳农官方渠道**
   - 找佳农官网/官方公众号/官方客服，询问“餐饮渠道菠萝产品”或“B端菠萝供应方案”。
   - 重点问：是否有餐饮专供规格、是否支持稳定批量供货、是否可定制切块/去皮/冷冻/罐装等形态。

2. **向销售问清这几点**
   - 产品形态：整果、鲜切、冷冻菠萝块、菠萝丁、菠萝酱/果泥等。
   - 规格与包装：单果重量、箱规、冷链要求、保质期。
   - 供应能力：全年稳定供货还是季节性，能否锁价，最小起订量。
   - 餐饮适配：是否适合饮品、烘焙、沙拉、披萨、炒饭等场景。
   - 资质与票据：食品资质、检测报告、发票、批次追溯。

3. **替代判断思路**
   - 如果佳农没有专门餐饮方案，也可以看它是否有**大规格批发装、冷冻菠萝、鲜切菠萝**等适合餐饮的SKU。
   - 若你需求量大，通常可以跟品牌或经销商谈**定制规格和长期供货协议**。

如果你告诉我你的具体用途，比如是做饮品、烘焙还是团餐，以及大概月用量，我可以帮你整理一份更具体的询价清单。
