如果只问“该买哪种”，前提是你说的“水果店卖菠萝”其实是**店家怎么卖**。那结论很直接：

**优先卖整果，让顾客自己挑；去皮好的可以作为增值服务，但不要当主销形态。**

原因按经营价值排：

1. **整果最稳**
   - 损耗最低，不用当场削、不用泡盐水、不用担心氧化和变味。
   - 顾客自己挑，接受度高，纠纷少。
   - 周转快，卖不完还能继续摆。

2. **去皮好的适合做“便利款”，不适合做主力**
   - 优点是方便，能吸引赶时间、不会削、怕扎手的顾客。
   - 缺点是损耗高、人工高、保鲜短，削完卖不掉基本就砸手里。
   - 如果要做，最好**现削现卖、按份定价、限量处理**，别提前削一大堆。

3. **让顾客自己挑，通常比店家统一挑更好**
   - 菠萝这种水果，成熟度、酸甜、大小差异大，顾客有自己的偏好。
   - 让顾客挑，能减少“你给我挑的不好”的售后争议。
   - 但可以给建议，比如“这个闻着香、底部黄，回去就能吃”“这个青一点，放两天更甜”。

**最实用的卖法：**
- 主体：整果堆头，顾客自选。
- 增值：提供免费或加价削皮服务，但说明“削后不退不换”。
- 促销：把熟度高、当天必须处理的，削好切块装盒，特价卖。
- 定价：整果按斤；去皮果按份或按斤加价，覆盖人工和损耗。

一句话：**主卖整果，顾客自选；去皮果只做便利补充和临期处理。**
