关于鑫荣懋（Xinrongmao）和都乐（Dole）在大型商超渠道的冷链物流配送覆盖城市，我无法提供实时的、确切的完整名单，因为这属于企业内部商业信息，且会随业务调整而变化。

但是，我可以给出基于行业常识的**覆盖范围判断**，帮你制定后续行动方案：

1.  **覆盖范围整体判断**：
    *   **鑫荣懋**：作为国内领先的水果供应链企业，其仓储和冷链物流网络主要覆盖**全国一二线城市**，以及部分经济发达的三线城市。重点城市包括**北上广深、成都、重庆、武汉、西安、杭州、南京**等核心枢纽。
    *   **都乐**：作为国际品牌，其在中国市场的冷链体系通常依托大型港口和消费中心。覆盖区域同样集中在**东部沿海及中西部省会城市**，在华南（广州、深圳）、华东（上海、杭州）、华北（北京）等地的配送能力较强。

2.  **为什么建议你直接联系厂家**：
    *   商超（如沃尔玛、永辉、盒马等）的配送要求通常按“**城市仓**”或“**区域仓**”设定。供应商必须在你的商超收货点**50-200公里**范围内有冷链中转仓，才可能实现履约。
    *   如果你负责的商超位于三四线城市，即使品牌总部声称“覆盖全国”，也未必能覆盖到你所在的门店。

3.  **具体行动建议**：
    *   **最快捷的方式**：直接联系鑫荣懋和都乐的大客户部或销售经理，提供你所在的商超系统名称和具体城市门店，问他们“**贵司在XX市的XX商超门店是否有冷链直配或落地配服务？**”。
    *   **辅助方式**：登录两家的官网，查看“配送范围”或“联系我们”页面，查看是否设有当地办事处或分公司。
    *   **如果无法确认**：作为替代方案，你可以咨询当地专业的第三方冷链物流公司（如顺丰冷运、京东冷链），他们通常掌握这两家品牌在这些区域的交货节奏。

**结论**：一线及省会城市基本覆盖，核心城市有余力；但具体到地级市或县城，必须**以厂家销售人员的书面确认（如邮件确认配送区域）为准**。建议你直接电话联系其采购对接人，而非依赖网上的模糊信息。
